Country	Date	SSID	Site Name	Site Type	Classification	Households	Individuals
Zimbabwe	06/04/2019		Zvanyanya	Host Community			5
Zimbabwe	06/04/2019		Ishe Usinamukudzi	Host Community			15
Zimbabwe	06/04/2019		Muchingami	Host Community			5
Zimbabwe	06/04/2019		Chigodora	Host Community			10
Zimbabwe	06/04/2019		Mukono	Host Community			15
Zimbabwe	06/04/2019		Mudyinganyama	Host Community			5
Zimbabwe	06/04/2019		Nyamande	Host Community			5
Zimbabwe	06/04/2019		Jeche	Host Community			15
Zimbabwe	06/04/2019		Masamha	Host Community			10
Zimbabwe	06/04/2019		Dhobha	Host Community			5
Zimbabwe	06/04/2019		Murere	Host Community			10
Zimbabwe	06/04/2019		Mavhimira	Host Community			1
Zimbabwe	06/04/2019		Chapwanya	Host Community			6
Zimbabwe	06/04/2019		Chisveto	Host Community			6
Zimbabwe	06/04/2019		Dhombo	Host Community			3
Zimbabwe	06/04/2019		Gava	Host Community			6
Zimbabwe	06/04/2019		Nhokwara	Host Community			2
Zimbabwe	06/04/2019		Mumvuri	Host Community			7
Zimbabwe	06/04/2019		Muyembe	Host Community			7
Zimbabwe	06/04/2019		Munyati	Host Community			6
Zimbabwe	06/04/2019		Garamwera	Host Community			5
Zimbabwe	06/04/2019		Chiduku	Host Community			5
Zimbabwe	06/04/2019		Gwebu	Host Community			10
Zimbabwe	06/04/2019		Marufu	Host Community			5
Zimbabwe	06/04/2019		Chademunhu	Host Community			20
Zimbabwe	06/04/2019		Mhere	Host Community			15
Zimbabwe	06/04/2019		Gwatidzo	Host Community			5
Zimbabwe	06/04/2019		Dzavo	Host Community			15
Zimbabwe	06/04/2019		Chibaya	Host Community			5
Zimbabwe	06/04/2019		Mbwende	Host Community			30
Zimbabwe	06/04/2019		Majakachi	Host Community			4
Zimbabwe	06/04/2019		Gorimbo	Host Community			5
Zimbabwe	06/04/2019		Mutesvu	Host Community			9
Zimbabwe	06/04/2019		Chikuvira	Host Community			5
Zimbabwe	06/04/2019		Gora	Host Community			4
Zimbabwe	06/04/2019		Chiputu	Host Community			3
Zimbabwe	06/04/2019		Mukonyo	Host Community			6
Zimbabwe	06/04/2019		Madzwembiri	Host Community			7
Zimbabwe	06/04/2019		Tara	Host Community			14
Zimbabwe	06/04/2019		Hadziucheri	Host Community			7
Zimbabwe	06/04/2019		Nyamandi	Camp Like Sites			22
Zimbabwe	06/04/2019		Gombe Arex House	Camp Like Sites			50
Zimbabwe	06/04/2019		Gembe Hall	Host Community			33
Zimbabwe	06/04/2019		Marume	Host Community			146
Zimbabwe	06/04/2019		Madende	Host Community			40
Zimbabwe	06/04/2019		Magaya	Host Community			20
Zimbabwe	06/04/2019		Muchererwi	Host Community			10
Zimbabwe	06/04/2019		Ndarukwa	Host Community			15
Zimbabwe	06/04/2019		Mukamba	Host Community			32
Zimbabwe	06/04/2019		Gombiro	Host Community			11
Zimbabwe	06/04/2019		Ward 5 Gombe	Camp Like Sites			6
Zimbabwe	06/04/2019		Makweru	Host Community			30
Zimbabwe	06/04/2019		Hwata	Host Community			3
Zimbabwe	06/04/2019		Zengerere	Host Community			10
Zimbabwe	06/04/2019		Dhiki	Host Community			9
Zimbabwe	06/04/2019		Munetsi	Host Community			20
Zimbabwe	06/04/2019		Fere	Host Community			12
Zimbabwe	06/04/2019		Munyira	Host Community			7
Zimbabwe	06/04/2019		Mabika	Host Community			15
Zimbabwe	06/04/2019		Machingira	Host Community			50
Zimbabwe	06/04/2019		Masvosva	Host Community			3
Zimbabwe	06/04/2019		Gana	Host Community			15
Zimbabwe	06/04/2019		Tapedzera	Host Community			6
Zimbabwe	06/04/2019		Tavangwena	Host Community			4
Zimbabwe	06/04/2019		Garanungo	Host Community			6
Zimbabwe	06/04/2019		Hamadziriri	Host Community			1
Zimbabwe	06/04/2019		Zvenyika	Host Community			1
Zimbabwe	06/04/2019		Tizvione	Host Community			4
Zimbabwe	06/04/2019		Ndengu	Host Community			4
Zimbabwe	06/04/2019		Dhengu	Host Community			10
Zimbabwe	06/04/2019		Magarasadza	Host Community			10
Zimbabwe	06/04/2019		Shonhiwa	Host Community			9
Zimbabwe	06/04/2019		Chikoto	Host Community			6
Zimbabwe	06/04/2019		Redzo	Host Community			7
Zimbabwe	06/04/2019		Chapwanya	Host Community			12
Zimbabwe	06/04/2019		Tagu	Host Community			2
Zimbabwe	06/04/2019		Muziti	Host Community			5
Zimbabwe	06/04/2019		Svotwa	Host Community			8
Zimbabwe	06/04/2019		Mbawa	Host Community			15
Zimbabwe	06/04/2019		Bumhira	Host Community			24
Zimbabwe	06/04/2019		Majaji	Host Community			11
Zimbabwe	06/04/2019		Mhondiwa	Host Community			26
Zimbabwe	06/04/2019		Mandishona	Host Community			3
Zimbabwe	06/04/2019		Mahembe	Host Community			15
Zimbabwe	06/04/2019		Chitanda	Host Community			12
Zimbabwe	06/04/2019		Zvidza	Host Community			28
Zimbabwe	06/04/2019		Machingauta	Host Community			5
Zimbabwe	06/04/2019		matide	Host Community			4
Zimbabwe	06/04/2019		Mhizha	Host Community			7
Zimbabwe	06/04/2019		Chore	Host Community			7
Zimbabwe	06/04/2019		Gaza	Host Community			4
Zimbabwe	06/04/2019		Madume	Host Community			2
Zimbabwe	06/04/2019		Chimombe	Host Community			15
Zimbabwe	06/04/2019		Mubvunzi	Host Community			9
Zimbabwe	06/04/2019		Mukomba	Host Community			3
Zimbabwe	06/04/2019		Mupoambwa	Host Community			2
Zimbabwe	06/04/2019		Chivhaka	Host Community			5
Zimbabwe	06/04/2019		Mudyanadzo	Host Community			7
Zimbabwe	06/04/2019		Munyanyi	Host Community			5
Zimbabwe	06/04/2019		Chiunduro	Host Community			4
Zimbabwe	06/04/2019		Tumbare	Host Community			27
Zimbabwe	06/04/2019		Chifamba	Host Community			13
Zimbabwe	06/04/2019		Madya	Host Community			2
Zimbabwe	06/04/2019		Mukandu	Host Community			11
Zimbabwe	06/04/2019		Kamhunga	Host Community			4
Zimbabwe	06/04/2019		Majere	Host Community			8
Zimbabwe	06/04/2019		Mututsa	Host Community			10
Zimbabwe	06/04/2019		Chitiga	Host Community			8
Zimbabwe	06/04/2019		Chingore	Host Community			23
Zimbabwe	06/04/2019		Mukwasi	Host Community			5
Zimbabwe	06/04/2019		Muwonde	Host Community			3
Zimbabwe	06/04/2019		Kubonya	Host Community			4
Zimbabwe	06/04/2019		Chitevere	Host Community			16
Zimbabwe	06/04/2019		Neshava	Host Community			6
Zimbabwe	06/04/2019		Tuhwe	Host Community			6
Zimbabwe	06/04/2019		Zvavamwene	Host Community			16
Zimbabwe	06/04/2019		Gavaravaziva	Host Community			4
Zimbabwe	06/04/2019		Shambamuto	Host Community			4
Zimbabwe	06/04/2019		Muchuweni	Host Community			4
Zimbabwe	06/04/2019		Ushe	Host Community			14
Zimbabwe	06/04/2019		Maradzika	Host Community			6
Zimbabwe	06/04/2019			Host Community			
Zimbabwe	06/04/2019		Ward 15 Villages	Host Community			280
Zimbabwe	06/04/2019		Muteve |V 	Host Community			5
Zimbabwe	06/04/2019		Mutenherwa V	Host Community			6
Zimbabwe	06/04/2019		Gapu	Host Community			18
Zimbabwe	06/04/2019		Mangoma	Host Community			15
Zimbabwe	06/04/2019		Dzawe	Host Community			15
Zimbabwe	06/04/2019		Hatihama	Host Community			11
Zimbabwe	06/04/2019		Madhumhe	Host Community			14
