publish_date,title,clean_text
2019-04-06,Eleva-se para 602 as mortes em Moçambique devido ao ciclone Idai,"O ciclone Idai e as chuvas em Moçambique entre os dias 10 e 23 de março, com especial incidência na província de Sofala, fez 602 óbitos e 1 641 feridos, atualizou este sábado o Instituto Nacional de gestão das Calamidades..Também o número de lares afetados subiu, registando-se atualmente 306 152 famílias, num total de 1 514 445 pessoas..Os ventos fortes (que chegaram a atingir 180 a 220 km/hora) e as chuvas torrenciais (mais de 200 milímetros de precipitação em 24 horas), acompanhadas de trovoadas, destruíram 11 163 casas e danificaram 15 784..A tempestade teve maior incidência na faixa costeira das províncias de Cabo Delgado e Nampula e todo o território das províncias de Sofala, Manica, Zambézia e Inhambane."
2019-04-06,Contagem oficial de mortes do Idai sobe para 602 em Moçambique,"Os dados do Instituto Nacional de Gestão de Calamidades (INGC) acrescentam mais quatro vítimas ao balanço de mortes, que permanecia inalterado desde terça-feira.
O número de feridos mantém-se em 1.641.
A contagem oficial de mortes provocadas pelo ciclone Idai em Moçambique subiu hoje para 602 e o número de pessoas afectadas subiu acima de 1,5 milhões, anunciaram as autoridades.
Os dados do Instituto Nacional de Gestão de Calamidades (INGC) acrescentam mais quatro vítimas ao balanço de mortes, que permanecia inalterado desde terça-feira.
O número de feridos mantém-se em 1.641."
2019-04-07,"Ciclone Idai: Países desenvolvidos devem ""apoio"" e ""solidariedade"" a Moçambique","Idai: Países desenvolvidos devem ""apoio"" a Moçambique
7 de abril de 2019O ex-Presidente Joaquim Chissano apelou, este domingo (07.04), para que a ajuda a Moçambique continue e pediu solidariedade aos países mais ricos e que mais contribuem para as alterações climáticas. ""O apelo para a ajuda continua. A resposta já veio, mas não podemos parar por aqui. O número de mortos é elevado. É possível que se encontrem mais corpos, sem contar com as pessoas que estão a morrer por causa da cólera e da malária"", disse Joaquim Chissano.
O antigo chefe de Estado moçambicano falava à agência Lusa em Abidjan, Costa do Marfim, à margem do fim de semana sobre governação da Fundação Mo Ibrahim, que se dedica à promoção da boa governação em África. À semelhança do que aconteceu em anos anteriores, também em 2018 a Fundação não atribuiu o Prémio Mo Ibrahim a nenhuma personalidade.
Alterações climáticas
A destruição provocada pelo ciclone Idai em Moçambique, no Zimbabué e no Malaui relançou o debate sobre as compensações aos países que menos contribuem para as alterações climáticas, mas que são os que mais sofrem com as suas consequências. Questionado sobre o tema, Joaquim Chissano explicou que, na sua opinião, não se trata de ""indemnização ou compensação"", mas de solidariedade.""[Gostaria] que os países que podem se solidarizassem com aqueles que menos podem, podendo pôr na equação que aqueles países emitem pouco carbono para o espaço"", sustentou.
""Esses países sabem qual é a sua responsabilidade quando falamos de solidariedade. Não é só neste aspeto, há outros: o atraso no desenvolvimento, o analfabetismo, a escravatura"", acrescentou.
Joaquim Chissano considerou que não faz sentido hoje ""exigir a um jovem português que pague pelo que o seu 'tetratisavô' fez"", mas defendeu que as ""novas gerações devem compreender que tem que haver solidariedade"" num mundo global. Por outro lado, reconheceu que a questão das compensações é ""uma matéria que tem de ser aprofundada"", considerando que o mercado de troca de créditos de carbono se revelou ""um processo muito complicado"".
""Construir em novos lugares”
Para Joaquim Chissano, é hora de repensar os espaços pois nota: ""Há áreas para onde não é conveniente que as pessoas voltem. Tem que se encontrar uma alternativa de convencer as pessoas a construir em novos lugares e mais tarde pensar-se nas próprias cidades”, disse o ex-presidente, que acrescentou ainda: ""as cidades moçambicanas estão todas mal localizadas, todas abaixo do nível do mar - Maputo, Beira, Quelimane - e são propensas a inundações e, portanto, tem que se pensar nisso tudo"".
Admitindo que é preciso ""muito dinheiro"", que ""não se pode mudar uma cidade de um dia para o outro"" e que, num país ""muito pobre"", o projeto de mudança de cidades é uma ""prioridade mais afastada"", Joaquim Chissano defendeu que ""não se deve deixar de pensar nela"". ""Já fizemos isso na bacia do rio Limpopo e realojamos as pessoas em lugares mais seguros. Em Moçambique, temos que continuar a trabalhar para quando surgir um novo fenómeno estarmos preparados"", disse.
Cumprimento do Acordo de Paris
Na mesma ocasião, a economista e Prémio Nobel da Paz Ellen Johnson Sirleaf pediu o cumprimento do Acordo de Paris. ""Em Moçambique pudemos ver as alterações climáticas na sua total extensão e a devastação que podem provocar. É preciso lidar com isso e cumprir o acordo assinado em Paris"", disse.
Para a antiga presidente da Libéria, o acordo sobre o clima, assinado em 2015, é ""claro"" sobre o apoio devido aos países que menos contribuem e que mais sofrem com os efeitos das alterações climáticas. ""Assinámos um acordo sobre o clima em Paris, é preciso que todos o implementem e respeitem. Nesse acordo está claro que os países desenvolvidos, que usam os recursos naturais dos países pobres ou em desenvolvimento, lhe devem - não lhe chamaria compensação - mas apoio"", sustentou.
""Moçambique, por razões sobre as quais não tem qualquer controlo, precisa desse apoio. E precisa desse apoio de África, das instituições africanas, da Europa e das instituições financeiras de desenvolvimento porque as populações afetadas não têm responsabilidades"" na tragédia, acrescentou.
Mo Ibrahim sem vencedor em 2018
Ellen Johnson Sirleaf e Joaquim Chissano foram dois dos convidados do evento sobre governação organizado todos os anos pela Fundação Mo Ibrahim, no qual é entregue o Prémio Mo Ibrahim, que distingue a boa governação e a liderança nos países africanos.
Este ano, como já aconteceu no passado, o galardão não foi entregue. Algo que para Ellen Johnson Sirleaf, que venceu a edição de 2017 deste Prémio, não é sinónimo de deterioração da governação no continente. ""Não houve nenhuma transição pacífica de poder importante e que cumpra os critérios do Prémio. Os mandatos têm sido prolongados e um dos critérios é o cumprimento do mandato e a passagem pacífica do poder"", disse."
2019-04-08,Ciclone Idai: INGC aberto a envolvimento de terceiros na distribuição de donativos,"Ciclone Idai: Centros de acomodação com 160 mil pessoas
8 de abril de 2019Os mais recentes dados do Instituto Nacional de Gestão de Calamidades (INGC), divulgados esta segunda-feira (08.04), dão conta de que há, neste momento, mais de 160 mil pessoas nos 164 centros de acomodação criados para as vítimas do ciclone Idai. O número de pessoas afetadas mantém-se acima das 1,5 milhões. Inalterados mantêm-se também, e desde sábado (06.04), o número de mortos, fixado em 602, e o número de feridos, que é atualmente de 1641.
O diretor adjunto do INGC para a área de Reassentamento e Coordenador dos Fundos de Gestão de Calamidades, Rui Costa, que falava, esta segunda-feira em Maputo, deu conta ainda que o ciclone destruiu total ou parcialmente 238 mil habitações e que 715 mil hectares de culturas diversas foram perdidas.
Distribuição de donativos
Numa altura em que crescem as denúncias de desvios de donativos e as autoridades moçambicanas já detiveram quatro pessoas, o Instituto Nacional de Gestão de Calamidades afirma que, que com vista a garantir a transparência na distribuição dos donativos às vítimas do ciclone, o INGC está interessado e aberto em ""ver envolvido o setor privado e as organizações não governamentais neste processo de assistência humanitária"", disse Rui Costa, acrescentando que: ""também é do interesse que haja uma auditoria àquilo que são os recursos financeiros, bem como aos produtos que o próprio Instituto Nacional de Gestão das Calamidades tem estado a receber, que é para se aferir de facto que o INGC está a trabalhar de modo a tornar este processo mais transparente"".
Neste sentido, disse o mesmo responsável, o INGC iniciou, na semana passada, a publicação num dos principais jornais do país, de uma informação quinzenal acerca dos donativos recebidos - tanto de produtos, como de dinheiro - com a indicação dos respetivos doadores.
No entanto, e apesar destas medidas, continuam a surgir nos meios de comunicação locais relatos de pessoas afetadas pelo ciclone que dizem não estar a receber donativos. Mas, Rui Costa garante que ""em todos os centros de acomodação, a comida tem estado a fluir, naturalmente com um e outro atraso"", diz.
Sobre as notícias alusivas aos desvios de donativos, este mesmo responsável diz que ""não há, neste momento, informação de que existam técnicos do Instituto Nacional de Gestão de Calamidades que estejam diretamente ligados ao extravio destes produtos"".
EUA contribui com 35 milhões
O governo dos Estados Unidos da América é um dos que está envolvido na ajuda às vítimas do ciclone Idai. Numa conferência de imprensa em Maputo, esta segunda-feira (08.04), Chris Milligan, conselheiro da Agência Norte Americana para o Desenvolvimento (USAID), disse que o seu país disponibilizará cerca de 40 milhões de dólares (cerca de 35 milhões de euros) para esta causa. Um montante que, de acordo com o responsável que visitou o país nos últimos três dias, ""pode aumentar, dependendo das informações que nós vamos colhendo"".
Questionado como é que os Estados Unidos garantem que os donativos chegam aos destinatários, Chris Milligan explicou que a sua instituição trabalha dentro de todos os padrões e procedimentos seguidos a nível internacional quando há crises. E acrescentou que os Estados Unidos contam com um Centro Operacional norte-americano baseado no Aeroporto Internacional da Beira que integra diferentes setores: ""Na área da alimentação, trabalhamos com o Programa Mundial de Alimentação. Eles vão ao campo, identificam as diferentes necessidades, vêm fazer o levantamento dos produtos necessários e enviam para o local. Nós passamos nesses centros e verificamos se esses alimentos estão a ser distribuídos para quem realmente precisa"", explicou.
SADC reforça pedido de ajuda
Entretanto, esta segunda-feira (08.04), a Comunidade de Desenvolvimento da África Austral (SADC, na sigla inglesa) fez saber que vai lançar na quinta-feira (11.04) um pedido formal à comunidade internacional para assistência aos três países afetados pelo Idai - Moçambique, Malawi e Zimbabué. De acordo com um comunicado daquela organização, o ""pedido regional formal"" será feito em Windhoek, através de uma declaração do próprio presidente em exercício da SADC e Presidente da Namíbia, Hage Geingob, com vista a obter novos apoios para os mais de três milhões de afetados pelo ciclone e cheias que se seguiram.
O apelo regional baseia-se ""inteiramente nas solicitações de assistência feitas pelos três países afetados"", que ""necessitam de assistência humanitária imediata, incluindo alimentos, abrigo, roupas e alimentos, água, saneamento e assistência médica, considerando a ocorrência de cólera e outras infeções por diarreia, malária e doenças relacionadas com a água"".
""O apoio também ajudará em ações de recuperação nos distritos afetados, ajudando a população a reconstruir as suas vidas, meios de subsistência e economias"", lê-se no comunicado."
2019-03-20,"Ciclone Idai: Município da Beira aguarda pela sua parte da ajuda internacional, diz Daviz Simango","Ciclone Idai: Como serão repartidos os milhões recebidos?
8 de abril de 2019Inicialmente não havia coordenação entre o Governo central e a edilidade da Beira, gerida pela segunda maior força da oposição, o Movimento Democrático de Moçambique (MDM), na assistência aos afetados. Cada um tocava para o seu lado, como a banda dos independentes. Vinte dias depois a DW África procurou saber o que mudou, entrevistando o edil Daviz Simango:
DW África: O trabalho conjunto entre a edilidade da Beira e o Governo central já flui melhor neste contexto de crise?
Daviz Simango (DS): Penso que o mais seguro hoje é o facto de termos de nos unirmos e realizarmos em conjunto uma conferência de doadores que vai ter lugar nos dias 23 e 30 de maio. É um sinal de que a nossa moçambicanidade fala mais alto, e sobretudo a nossa irmandade ainda existe, penso que é um princípio bom para quem procura unir-se e estamos unidos como moçambicanos.
DW África: Concretamente, que tipo de apoio se procura junto dos doadores?
DS: Já fizemos um levantamento, mas estamos na segunda fase em que participam os parceiros da ONU Habitat e a UNICEF. E antes de aparecerem os holandeses, a cidade da Beira é costeira e sofreu [com o Ciclone Idai], portanto é uma grande prioridade para nós, porque se a nossa costa não for protegida dificilmente o investidor que venha para cá se sinta seguro. Há que se proteger assegurar os investimentos, os postos de trabalho e o desenvolvimento da própria sociedade e do país. Temos os problemas das estradas que precisam de um grande trabalho por causa das chuvas que alagaram as estradas, temos as infraestruturas todas que têm de ser recuperadas, queremos arrancar com a segunda fase do sistema de drenagem, garantir que a componente mudanças climáticas ligada às inundações e chuvas esteja protegida e naturalmente preparar um novo regulamento que possa permitir que a cidade resista aos ventos fortes. Precisamos de permitir que as crianças voltem a escola, as aulas já começaram e algumas escolas ainda não têm coberturas desejadas [nem] os hospitais, os edifícios municipais, as sedes dos bairros, os parques desportivos estão todos degradados... Portanto, há uma série de infraestruturas urbanas que devem ser trabalhadas para que respondam as necessidades do citadino.
DW África: Da ajuda internacional anunciada, que quinhão o Governo central vai enviar para o município da Beira? Isso já foi estimado?
DS: Ainda não e estamos ansiosos em ver, sabemos que há valores que entram ou que estão a caminho. O importante é que esperamos que na altura própria sejamos informados para fazermos uso [tendo em conta] as necessidade que temos.
DW África: Entretanto há uma outra reunião de doadores ainda este mês. Faz sentido dois encontros que visam o mesmo objetivo?
DS: O que aconteceu foi o seguinte, o município da Beira iniciou o processo de preparação da conferência dos doadores e abordou a questão e entendeu-se com os doadores, marcando a data para 24 de abril, dissemos que queríamos juntar o Governo uma vez que existem umas zonas afetadas que necessitam dessa sustentabilidade da conferência. Apresentei o problema ao Presidente da República [Filipe Nyusi] e ele concordou que podíamos fazer uma coisa conjunta, o Conselho de Ministros determinou que sim, então significa que a conferência marcada para dia 24 de abril, para dar tempo que as autoridades de outras regiões afetadas se preparem, passou para o intervalo de 23 a 30 de maio. O que quero dizer com isso é que só haverá uma única conferência dos moçambicanos das regiões afetadas.
DW África: Pouco tempo depois do Ciclone Idai o sr. Daviz Simango esteve em Maputo onde se reuniu com representantes da comunidade internacional a procura de apoios. Qual é o resultado dessa iniciativa?
DS: O que fui fazer foi expor a realidade da Beira, fazer-lhes perceber o que aconteceu na Beira porque muitos deles tinham informações através da imprensa, mas era preciso que ouvissem em primeira mão com o titular da cidade o que lá tinha acontecido. E nesse encontro propus organizar a conferência de investimentos, concordaram afirmando que iriam participar e neste momento estão a trabalhar connosco e com o Governo para esta conferência conjunta. Portanto, o resultado do encontro que tive com os doadores é exatamente a realização desta conferência. Por outro lado, temos a equipa holandesa que já está no terreno a fazer levantamentos, temos a equipa da ONU Habitat e UNICEF que estão a trabalhar connosco. Portanto, o grande resultado é os parceiros se terem juntado a nós para fazer o levantamento para termos os dados necessários."
2019-04-09,"Moçambique: CPLP apoia vítimas do ciclone Idai com 1,5 milhões de euros","CPLP apoia vítimas do ciclone Idai com 1,5 milhões de euros
9 de abril de 2019O fundo aberto a contribuições adicionais da Comunidade dos Países de Língua Portuguesa (CPLP) conta com uma verba significativa de Timor-Leste, que disponibilizou um milhão de dólares norte-americanos (cerca de 890 mil euros), contra os 100 mil euros de países como Portugal ou a Guiné-Bissau.
As diferenças no apoio dos países da CPLP a Moçambique têm gerado críticas, nomeadamente a irrisória contribuição igualmente de 100 mil euros prometida pelo Brasil, conforme anunciou o Ministério da Relações Exteriores.
O secretário executivo da organização desvaloriza as diferenças entre as contribuições dos países membros para apoio de emergência às populações vítimas da catástrofe natural que assolou a região centro de Moçambique.
""Não vou entrar no debate quem deu quanto e o quê. O que eu lhe posso dizer é que, uma semana e meia depois da constituição do fundo estarem neste momento já disponibilizados um milhão e meio de euros é bastante significativo"", considera o embaixador Francisco Rebelo Telles.
O valor de 100 mil euros disponibilizado pelo Brasil, por exemplo, é semelhante à verba fornecida pela Guiné-Bissau, país de menos recursos financeiros. Rebelo Telles sublinha que não responde por estes países e que ""todas as contribuições são bem vindas”: ""Não me cabe a mim responder agora sobre os montantes que cada país dá, o que anunciou e o que não anunciou. O que eu posso dizer é que o fundo especial está aberto e continuará aberto nos próximos tempos"".
Apoios não podem ser descartados
O diplomata português ao serviço da CPLP fez estas declarações após a assinatura, esta segunda-feira (08.04), em Lisboa, de um memorando de entendimento, que assegura a transferência para Moçambique de um milhão e 500 mil euros, destinados a contribuir para os esforços de resposta à situação de emergência provocada pela passagem do ciclone Idai, a 14 de março.
De acordo com o estabelecido, a primeira instituição beneficiária do referido fundo é o Instituto de Gestão das calamidades Naturais de Moçambique (INGC).
O secretário executivo da organização lusófona acredita que o fundo, que já conta com uma adesão significativa, poderá mobilizar no futuro uma maior participação de parceiros para o auxílio a Moçambique.
Ribeiro Telles deu a conhecer o convite formulado aos observadores consultivos da CPLP e outras organizações interessadas em dar também o seu apoio a Moçambique. Vários organismos, abrangendo as áreas da saúde, do ambiente e dos recursos hídricos, também estiveram reunidos na sede da organização, esta segunda-feira, para pensar numa forma estruturada e integrada sobre o tipo de ajuda a prestar ao país irmão. ""Foi muito importante, nesta primeira fase, a ajuda humanitária, mas agora há que pensar, a curto e médio prazo, na reconstrução das zonas afetadas"", sublinha.
Joaquim Bule, embaixador de Moçambique, considera significativas as ajudas mobilizadas pela CPLP: ""Aqui não é possível descartar este e aquele apoio como sendo suficiente ou insuficiente. O que resultou do ciclone justifica que a contribuição da CPLP seja feita e a contribuição de todos os outros que entenderem por bem que podem assistir também que o façam"".
O diplomata moçambicano diz que existem mecanismos instituídos pelo próprio Governo da República de Moçambique para garantir o uso dos fundos com transparência. A ajuda, precisa Bule, está sujeita a uma auditoria externa, ""um mecanismo de prestação de contas que permita que as pessoas possam saber para que é que o dinheiro foi gasto"".
""Os recursos que os Estados membros decidiram disponibilizar serão utilizados com a transparência necessária"", garante."
2019-04-09,Ciclone Idai: Campanha de solidariedade da FPF angaria 200 mil euros,"Para poder usar esta funcionalidade deverá efectuar login.
Caso não esteja registado no site do Record, efectue o seu registo gratuito.
""Todos Moçambique"" juntou donativos de particulares e empresas, através de linha telefónica e conta solidárias. e da receita de bilheteira do primeiro dérbi feminino entre Benfica e Sporting
Seguir Autor:
A campanha de solidariedade com as vítimas da passagem do ciclone Idai por Moçambique, que integrou um jogo entre as equipas femininas de Benfica e Sporting, angariou 200 mil euros, anunciou esta terça-feira a Federação Portuguesa de Futebol (FPF).
A campanha, designada ""Todos Moçambique"", gerou 200.031,24 euros, resultantes da entrega de donativos de particulares e empresas, através de vários canais (linha telefónica e conta solidárias) e da receita de bilheteira do primeiro dérbi feminino entre os rivais lisboetas, realizado em 30 de março, que o Sporting venceu por 1-0.
O encontro, que atribuiu o troféu Vicente Lucas às duas equipas e ao antigo internacional português, nascido em Moçambique, bateu o recorde de assistência de um jogo de futebol feminino em Portugal, com um total de 15.204 espetadores, entre os quais o Presidente da República, Marcelo Rebelo de Sousa, o que resultou numa receita de 38.152 euros.
""Foi um verdadeiro movimento de sensibilização da sociedade portuguesa, com o apoio de inúmeros parceiros. A receita vai reverter na totalidade para a Cruz Vermelha Portuguesa"", indica a nota publicada no site oficial da FPF.
Ao valor já angariado, juntar-se-á o que for resultante da venda de camisolas autografadas pelos jogadores da seleção nacional, bem como cerca de quatro toneladas de mantimentos oferecidos por um dos parceiros do organismo federativo.
O ciclone Idai atingiu a região centro de Moçambique, o Maláui e o Zimbabué em 14 de março. Segundo o último balanço das autoridades moçambicanas, o ciclone fez 602 mortos e 1.641 feridos, tendo afetado mais de 1,5 milhões de pessoas no centro do país.
Carlos Machado é o único elemento que participou nos 500 jogos do clube no escalão maior do futebol português
Defesa-central sofreu uma rotura total do tendão de Aquiles e enfrenta recuperação de seis a nove meses
Registo ganhador do treinador do Nottingham Forest é um dos melhores dos últimos 15 anos dos azuis-e-brancos
Técnico conduziu o Vizela a três vitórias em outros tantos jogos
Portugal continua bem posicionado no 6.º lugar
Jogador foi internado após jogo da Colômbia há nove dias e ainda não recuperou em pleno
Antigo selecionador da Roménia morreu esta terça-feira, aos 80 anos
Turma do treinador português superou o Barcelona de Guayaquil no Equador"
2019-04-09,Comissão vai acompanhar a distribuição de alimentos às vítimas do ciclone Idai,"João Almeida Lopes protegeu-se da pandemia com comprimidos de ivermectina. Trata-se de um antiparasitário dos anos 1980, que foi Prémio Nobel da Medicina em 2015."
2019-04-10,Idai: Economista português admite aumento da dívida de Moçambique,"O economista português Ricardo Reis admitiu hoje que a comunidade internacional irá aceitar o aumento da dívida pública de Moçambique para recuperar o centro do país após o ciclone Idai.
""Depois de uma calamidade, toda a ajuda é importante e necessária e bem-vinda. O facto de ela tomar forma de dívida não é nem anormal nem indesejável"", disse Ricardo Reis, professor de Economia na London School of Economics, à margem das Reuniões da Primavera do Fundo Monetário Internacional (FMI), em Washington.
""Não me surpreende e parece-me desejável que Moçambique receba muita ajuda e também se endivide nesta altura"", considerou Ricardo Reis, avisando, no entanto, que as dívidas deverão ser pagas num momento de melhoria económica.
Tem sugestões ou notícias para partilhar com o CM?
Envie para geral@cmjornal.pt
o que achou desta notícia?
concordam consigo
Para usar esta funcionalidade deverá efetuar login.
Caso não esteja registado no site do Correio da Manhã, efetue o seu registo gratuito."
2019-04-10,Zimbabué revê para 344 número de mortos provocados por passagem do ciclone Idai,"Pelo menos 257 pessoas estão ainda dadas ainda como desaparecidas no leste do país.
1 / 5
O Zimbabué reviu em alta o número de mortos provocados pela passagem do ciclone Idai, que ascende agora a 344, segundo a ministra para a Informação, Monica Mutsvanwa, em declarações à imprensa na noite de terça-feira.
""O Governo lamenta anunciar que o número de mortos passou a 344"", afirmou a ministra. As últimas estimativas variavam, de acordo com diversas fontes, entre os 180 e os 250 mortos.
""As operações [no terreno] limitam-se a partir de agora apenas à recuperação de corpos. As pessoas dadas como desaparecidas passam também, a partir de agora, a ser assumidas como mortos presumíveis"", acrescentou a governante.
De acordo com a segurança zimbabueana, pelo menos 257 pessoas estão dadas ainda como desaparecidas no leste do país.
O balanço da passagem do ciclone Idai em meados do mês passado por Moçambique, Zimbabué e Maláui deverá assim ultrapassar a barreira dos mil mortos e dos dois milhões de feridos, segundo os últimos números das autoridades locais e da ONU.
Em Moçambique, o último balanço oficial publicado esta terça-feira dá conta de 602 mortos. O ciclone atingiu em força a cidade portuária da Beira e os seus 500 mil habitantes no passado dia 14 de março, e depois orientou-se a oeste evoluindo em direção ao Zimbabué. As chuvas diluvianas e os ventos violentos causaram uma destruição massiva nos dois países.
Mais de dois milhões de pessoas, entre as quais 1,8 milhões apenas em Moçambique, foram afetadas, e entre estas 165.000 foram forçadas a abandonar as casas destruídas pela passagem do Idai.
Na Maláui, as inundações provocadas pela passagem do ciclone fizeram 59 mortos e quase 900 feridos.
Várias agências das Nações Unidas e organizações não-governamentais de todo o mundo acorreram em ajuda àquela região da África Austral. A ONU lançou um apelo para a recolha de 251 milhões de euros para financiar a ajuda de urgência nos próximos três meses.
Tem sugestões ou notícias para partilhar com o CM?
Envie para geral@cmjornal.pt
o que achou desta notícia?
concordam consigo
A redação do CM irá fazer uma avaliação e remover o comentário caso não respeite as Regras desta Comunidade.
O seu comentário contem palavras ou expressões que não cumprem as regras definidas para este espaço. Por favor reescreva o seu comentário.
O CM relembra a proibição de comentários de cariz obsceno, ofensivo, difamatório gerador de responsabilidade civil ou de comentários com conteúdo comercial.
O Correio da Manhã incentiva todos os Leitores a interagirem através de comentários às notícias publicadas no seu site, de uma maneira respeitadora com o cumprimento dos princípios legais e constitucionais. Assim são totalmente ilegítimos comentários de cariz ofensivo e indevidos/inadequados. Promovemos o pluralismo, a ética, a independência, a liberdade, a democracia, a coragem, a inquietude e a proximidade.
Ao comentar, o Leitor está a declarar que é o único e exclusivo titular dos direitos associados a esse conteúdo, e como tal é o único e exclusivo responsável por esses mesmos conteúdos, e que autoriza expressamente o Correio da Manhã a difundir o referido conteúdo, para todos e em quaisquer suportes ou formatos actualmente existentes ou que venham a existir.
O propósito da Política de Comentários do Correio da Manhã é apoiar o leitor, oferecendo uma plataforma de debate, seguindo as seguintes regras:
Recomendações:
- Os comentários não são uma carta. Não devem ser utilizadas cortesias nem agradecimentos;
Sanções:
- Se algum leitor não respeitar as regras referidas anteriormente (pontos 1 a 11), está automaticamente sujeito às seguintes sanções:
- O Correio da Manhã tem o direito de bloquear ou remover a conta de qualquer utilizador, ou qualquer comentário, a seu exclusivo critério, sempre que este viole, de algum modo, as regras previstas na presente Política de Comentários do Correio da Manhã, a Lei, a Constituição da República Portuguesa, ou que destabilize a comunidade;
- A existência de uma assinatura não justifica nem serve de fundamento para a quebra de alguma regra prevista na presente Política de Comentários do Correio da Manhã, da Lei ou da Constituição da República Portuguesa, seguindo a sanção referida no ponto anterior;
- O Correio da Manhã reserva-se na disponibilidade de monitorizar ou pré-visualizar os comentários antes de serem publicados.
Se surgir alguma dúvida não hesite a contactar-nos internetgeral@medialivre.pt ou para 210 494 000
O Correio da Manhã oferece nos seus artigos um espaço de comentário, que considera essencial para reflexão, debate e livre veiculação de opiniões e ideias e apela aos Leitores que sigam as regras básicas de uma convivência sã e de respeito pelos outros, promovendo um ambiente de respeito e fair-play.
Só após a atenta leitura das regras abaixo e posterior aceitação expressa será possível efectuar comentários às notícias publicados no Correio da Manhã.
A possibilidade de efetuar comentários neste espaço está limitada a Leitores registados e Leitores assinantes do Correio da Manhã Premium (“Leitor”).
Ao comentar, o Leitor está a declarar que é o único e exclusivo titular dos direitos associados a esse conteúdo, e como tal é o único e exclusivo responsável por esses mesmos conteúdos, e que autoriza o Correio da Manhã a difundir o referido conteúdo, para todos e em quaisquer suportes disponíveis.
O Leitor permanecerá o proprietário dos conteúdos que submeta ao Correio da Manhã e ao enviar tais conteúdos concede ao Correio da Manhã uma licença, gratuita, irrevogável, transmissível, exclusiva e perpétua para a utilização dos referidos conteúdos, em qualquer suporte ou formato atualmente existente no mercado ou que venha a surgir.
O Leitor obriga-se a garantir que os conteúdos que submete nos espaços de comentários do Correio da Manhã não são obscenos, ofensivos ou geradores de responsabilidade civil ou criminal e não violam o direito de propriedade intelectual de terceiros. O Leitor compromete-se, nomeadamente, a não utilizar os espaços de comentários do Correio da Manhã para: (i) fins comerciais, nomeadamente, difundindo mensagens publicitárias nos comentários ou em outros espaços, fora daqueles especificamente destinados à publicidade contratada nos termos adequados; (ii) difundir conteúdos de ódio, racismo, xenofobia ou discriminação ou que, de um modo geral, incentivem a violência ou a prática de atos ilícitos; (iii) difundir conteúdos que, de forma direta ou indireta, explícita ou implícita, tenham como objetivo, finalidade, resultado, consequência ou intenção, humilhar, denegrir ou atingir o bom-nome e reputação de terceiros.
O Leitor reconhece expressamente que é exclusivamente responsável pelo pagamento de quaisquer coimas, custas, encargos, multas, penalizações, indemnizações ou outros montantes que advenham da publicação dos seus comentários nos espaços de comentários do Correio da Manhã.
O Leitor reconhece que o Correio da Manhã não está obrigado a monitorizar, editar ou pré-visualizar os conteúdos ou comentários que são partilhados pelos Leitores nos seus espaços de comentário. No entanto, a redação do Correio da Manhã, reserva-se o direito de fazer uma pré-avaliação e não publicar comentários que não respeitem as presentes Regras.
Todos os comentários ou conteúdos que venham a ser partilhados pelo Leitor nos espaços de comentários do Correio da Manhã constituem a opinião exclusiva e única do seu autor, que só a este vincula e não refletem a opinião ou posição do Correio da Manhã ou de terceiros. O facto de um conteúdo ter sido difundido por um Leitor nos espaços de comentários do Correio da Manhã não pressupõe, de forma direta ou indireta, explícita ou implícita, que o Correio da Manhã teve qualquer conhecimento prévio do mesmo e muito menos que concorde, valide ou suporte o seu conteúdo.
ComportamentoO Correio da Manhã pode, em caso de violação das presentes Regras, suspender por tempo determinado, indeterminado ou mesmo proibir permanentemente a possibilidade de comentar, independentemente de ser assinante do Correio da Manhã Premium ou da sua classificação.
O Correio da Manhã reserva-se ao direito de apagar de imediato e sem qualquer aviso ou notificação prévia os comentários dos Leitores que não cumpram estas regras.
O Correio da Manhã ocultará de forma automática todos os comentários uma semana após a publicação dos mesmos.
Para usar esta funcionalidade deverá efetuar login.
Caso não esteja registado no site do Correio da Manhã, efetue o seu registo gratuito.
Escrever um comentário no CM é um convite ao respeito mútuo e à civilidade. Nunca censuramos posições políticas, mas somos inflexiveis com quaisquer agressões. Conheça as
Inicie sessão ou registe-se para comentar."
