publish_date,positive,negative,neutral,compound,country,language
2019-04-06,0,0.152,0.848,-0.3252,Zimbabwe,ENG
2019-04-03,0,0.281,0.719,-0.5994,Zimbabwe,ENG
2019-04-05,0,0.286,0.714,-0.4939,Zimbabwe,ENG
2019-04-07,0.497,0,0.503,0.872,Zimbabwe,ENG
2019-04-09,0,0,1,0,Zimbabwe,ENG
2019-03-17,0,0.187,0.813,-0.3182,Zimbabwe,ENG
2019-04-11,0.183,0.183,0.635,0,Zimbabwe,ENG
2019-04-11,0.256,0,0.744,0.4767,Zimbabwe,ENG
2019-04-10,0,0,1,0,Zimbabwe,ENG
2019-04-10,0,0.182,0.818,-0.25,Zimbabwe,ENG
2019-04-10,0,0.346,0.654,-0.5719,Zimbabwe,ENG
2019-04-10,0,0,1,0,Zimbabwe,ENG
2019-04-10,0.256,0,0.744,0.4767,Zimbabwe,ENG
2019-04-10,0.43,0,0.57,0.7783,Zimbabwe,ENG
2019-04-10,0,0.173,0.827,-0.3182,Zimbabwe,ENG
2019-04-10,0,0,1,0,Zimbabwe,ENG
2019-04-11,0,0.242,0.758,-0.4939,Zimbabwe,ENG
2019-04-11,0,0,1,0,Zimbabwe,ENG
2019-04-11,0.27,0.295,0.435,-0.0754,Zimbabwe,ENG
2019-04-11,0,0.194,0.806,-0.0516,Zimbabwe,ENG
2019-04-11,0,0,1,0,Zimbabwe,ENG
2019-04-11,0,0,1,0,Zimbabwe,ENG
2019-04-13,0,0.325,0.675,-0.6486,Zimbabwe,ENG
2019-04-12,0,0.182,0.818,-0.4404,Zimbabwe,ENG
2019-04-12,0,0,1,0,Zimbabwe,ENG
2019-04-14,0.252,0,0.748,0.4019,Zimbabwe,ENG
2019-04-15,0,0.174,0.826,-0.2732,Zimbabwe,ENG
2019-04-15,0.171,0.133,0.696,0.1531,Zimbabwe,ENG
2019-04-15,0,0,1,0,Zimbabwe,ENG
2019-04-12,0,0.383,0.617,-0.4767,Zimbabwe,ENG
2019-04-16,0,0,1,0,Zimbabwe,ENG
2019-04-18,0,0.606,0.394,-0.7717,Zimbabwe,ENG
2019-04-17,0,0,1,0,Zimbabwe,ENG
2019-04-17,0,0,1,0,Zimbabwe,ENG
