publish_date,title,clean_text
2019-04-06,The 2pc Tax and Cyclone Idai . . .when what is right is not always popular,"Source: The 2pc Tax and Cyclone Idai . . .when what is right is not always popular | The Herald April 6, 2019
Prof Mthuli Ncube Special Correspondent
They say you can only know the true state of a car when you lift its bonnet and look inside. And so it was back in September, when I was appointed Minister of Finance, and got to take a look at the true state of our nation’s finances. The budget deficit was huge, and growing at a rate of hundreds of millions of US Dollars per month, causing spiralling domestic debt and inflation with negative spillovers to the rest of the economy.If we were to have any chance to resurrect the Zimbabwean economy and build a better life for the people of this country, we would have to take tough decisions, and fast.
What was required was to cut unnecessary spending, while at the same time seeking new revenue sources.
We knew that the actions we needed to take would not necessarily make us popular, but they were necessary nonetheless.
I was comforted in this realisation by the wise words of Albert Einstein, who famously wrote that “What is right is not always popular and what is popular is not always right.”
One of the key elements of our strategy to get our finances back on track was the Intermediated Money Transfer Tax (IMTT), popularly referred to as the 2 percent Tax, which we introduced six months ago in October 2018, to replace the previous flat tax of 5 cents per transaction.
The purpose of this tax was twofold. First, it was intended that the 2 percent tax would raise significant revenue to be used to balance the budget and finance various priority development programmes. The tax’s performance in this regard has exceeded all expectations, and to date, we have collected $449 million. This money has helped to cut the monthly budget, for example from a US$242 million deficit in November to a surplus of US$733 million in December, and has also gone towards key projects such as dualisation of Norton strip of the Harare-Bulawayo Highway.
The second goal for this tax was to give government the ability to fund inescapable and unforeseen expenditures, without recourse to debt creating instruments such as Treasury Bills, through the establishment of a dedicated and ring-fenced fund.
We are well aware that we live in a region in which natural disasters are becoming sadly ever more common, and that therefore, government must have the ability to respond to such events without creating further debt.
The ongoing Cyclone Idai disaster is one such event.
The images of the dead, injured and displaced were heartbreaking, and the nation has been united in grief for the lives ruined by this devastating and unexpected disaster.
From a governmental perspective, Cyclone Idai necessitated an urgent and immediate need for resource mobilisation to mitigate against its effects and support those affected.
In the past, this would have meant further Government borrowing, leading to extra debt and long term economic ramifications.
But fortunately, funds from the 2 percent tax that were put aside for exactly this eventuality, and became available exactly when they were most needed.
We had initially earmarked $50 million to cover the emergency requirements for mitigating the impact of such a disaster, yet due to the increased performance of the fund, we were able to increase this allocation to a much needed $100million.
These funds are being used to help those who most in need of our help.
This article is not intended to be self-congratulatory. Far from it. There is so much more to do to mitigate the impact of Cyclone Idai, and this sum we have put aside amounts to around one tenth of the estimated one billion dollars we require to cater for non-infrastructure supplies as well as quick infrastructure rehabilitation of roads and bridges, power, communication, irrigation, housing and water. The scale of the need will require the coordination and support of public, private and development partners, and while we greatly appreciate all the support we have already received, much more is needed.
But what Cyclone Idai has done is to reaffirm the need for long term economic planning and sobriety, even if it is unpopular. Nobody likes to be asked to pay more taxes, certainly not those who are already struggling to make ends meet. We are aware of this, and are doing all we can to spread the burden evenly, and minimise what we ask for from those who have the least.
But in just six months, the 2 percent tax has helped us to cut the deficit, invest in vital infrastructure, and put aside a sizeable sum that is being used to mitigate the effects of Cyclone Idai. Simply put, the 2 percent tax enables us to help those desperately in need of our assistance. Whatever your politics, whether popular or not, it is the right thing to do.
Newer Post
Prosecutor faces investigation Older Post
Simba Chikore has case to answer, says court
COMMENTS"
2019-04-03,"Cylone Idai death toll at 268 in Zimbabwe, expected to rise","News / National
Cylone Idai death toll at 268 in Zimbabwe, expected to rise
03 Apr 2019 at 07:21hrs |
212 Views
Cabinet yesterday resolved to launch a formal appeal for domestic and international assistance on the Cyclone Idai disaster whose death toll now stands at 268 people.
The appeal is for assistance in the ongoing rescue and search efforts as well as restoration of basic infrastructure and social services in Manicaland, Masvingo and Mashonaland East.
Briefing journalists after yesterday's Cabinet meeting, Information, Publicity and Broadcasting Services Minister Monica Mutsvangwa said the death toll was expected to rise as rescue and search efforts continued.
""Cabinet received a comprehensive update from the Minister of Local Government, Public works and National Housing on the ongoing rescue and search efforts in the aftermath of the Cyclone Idai Disaster,"" she said.
""Cabinet noted with satisfaction that access to the affected areas is steadily improving as more roads are being reopened. As a consequence of this development, the distribution of food and other forms of relief assistance is now reaching a greater spread of the affected communities. Cabinet however, is concerned over the shortage of aircraft to airlift relief assistance to collection points that are still inaccessible by road. It is noted with sadness that the figure of human fatalities has now risen to 268 and is still expected to rise as the search efforts continue.""
She went on: ""Pertaining to the way forward, Cabinet approved the launch of a formal appeal for domestic and international disaster relief assistance in respect of the Cyclone Idai Disaster. Cabinet wishes, once again, to express its profound appreciation for the overwhelming response by both locals and the broader international community to calls by His Excellency the President for offers of assistance towards the victims of the disaster."" She said Government appreciated civil servants, the Zimbabwe Defence Forces and other security agencies as well as members of the media who continue to discharge their work ""with a high level of commitment despite working for long hours and under trying circumstances"".
Minister Mutsvangwa said Cabinet also took note of the impending visit to Chimanimani by 18 presidents of the local political parties, involved in the political parties' dialogue. They are visiting to express their solidarity with the people affected by the disaster. Expanding on the appeal, Local Government, Public Works and National Housing Minister July Moyo said the request was focusing on food and non-food items.
""The appeal which will be launched by Government is looking at food and non-food items that are needed to give sustenance to the people who have been affected by the Cyclone and that figure is quite big and we take into account that a lot of Zimbabweans have been assisting us,"" he said.
""While we are making the appeal we know that a lot of assistance has come from Zimbabweans, our regional and international partners. Yes, we have been assisted but we also want to create capacity for rescue and search operations.
""We have to restore our infrastructure which is divided into various sub-sectors. Roads have been destroyed and we are putting attention on both main roads and feeder roads.
""Power was rendered non-working in the whole area of Chimanimani and parts of Chipinge and Zesa is working hard to restore supplies.
""Water systems have to be restored. This is both for domestic use and irrigation purposes. Boreholes have been flooded and are now inoperative, causing a lot of anxiety in terms of clean drinking water. Communication systems have to be restored also.""
Minister Moyo said the other resources were needed to cater for those in need of psycho-social counselling.
""We estimate that there are about 50 000 people who need this,"" he said.
""We have to put resources so that this takes place and this will be led by the Ministry of Public Service, Labour and Social Welfare and other agencies such churches and UNICEF.""
He said Government allocated $100 million towards the disaster but more resources were needed. He said all donations and assistance being given to Government were being accounted for.
The appeal is for assistance in the ongoing rescue and search efforts as well as restoration of basic infrastructure and social services in Manicaland, Masvingo and Mashonaland East.
Briefing journalists after yesterday's Cabinet meeting, Information, Publicity and Broadcasting Services Minister Monica Mutsvangwa said the death toll was expected to rise as rescue and search efforts continued.
""Cabinet received a comprehensive update from the Minister of Local Government, Public works and National Housing on the ongoing rescue and search efforts in the aftermath of the Cyclone Idai Disaster,"" she said.
""Cabinet noted with satisfaction that access to the affected areas is steadily improving as more roads are being reopened. As a consequence of this development, the distribution of food and other forms of relief assistance is now reaching a greater spread of the affected communities. Cabinet however, is concerned over the shortage of aircraft to airlift relief assistance to collection points that are still inaccessible by road. It is noted with sadness that the figure of human fatalities has now risen to 268 and is still expected to rise as the search efforts continue.""
She went on: ""Pertaining to the way forward, Cabinet approved the launch of a formal appeal for domestic and international disaster relief assistance in respect of the Cyclone Idai Disaster. Cabinet wishes, once again, to express its profound appreciation for the overwhelming response by both locals and the broader international community to calls by His Excellency the President for offers of assistance towards the victims of the disaster."" She said Government appreciated civil servants, the Zimbabwe Defence Forces and other security agencies as well as members of the media who continue to discharge their work ""with a high level of commitment despite working for long hours and under trying circumstances"".
Minister Mutsvangwa said Cabinet also took note of the impending visit to Chimanimani by 18 presidents of the local political parties, involved in the political parties' dialogue. They are visiting to express their solidarity with the people affected by the disaster. Expanding on the appeal, Local Government, Public Works and National Housing Minister July Moyo said the request was focusing on food and non-food items.
""The appeal which will be launched by Government is looking at food and non-food items that are needed to give sustenance to the people who have been affected by the Cyclone and that figure is quite big and we take into account that a lot of Zimbabweans have been assisting us,"" he said.
""We have to restore our infrastructure which is divided into various sub-sectors. Roads have been destroyed and we are putting attention on both main roads and feeder roads.
""Power was rendered non-working in the whole area of Chimanimani and parts of Chipinge and Zesa is working hard to restore supplies.
""Water systems have to be restored. This is both for domestic use and irrigation purposes. Boreholes have been flooded and are now inoperative, causing a lot of anxiety in terms of clean drinking water. Communication systems have to be restored also.""
Minister Moyo said the other resources were needed to cater for those in need of psycho-social counselling.
""We estimate that there are about 50 000 people who need this,"" he said.
""We have to put resources so that this takes place and this will be led by the Ministry of Public Service, Labour and Social Welfare and other agencies such churches and UNICEF.""
He said Government allocated $100 million towards the disaster but more resources were needed. He said all donations and assistance being given to Government were being accounted for.
Source - chronicle
Join the discussion
Loading comments…"
2019-04-05,Cop hires kombi to ferry stolen Cyclone Idai donations,"News / National
Cop hires kombi to ferry stolen Cyclone Idai donations
07 Apr 2019 at 17:39hrs |
5181 Views
A police officer has been arrested for alleged wholesale looting of aid valued at tens of thousands United States Dollars earmarked for victims of Cyclone Idai in Chipinge amid reports of rampant misappropriation of donations.
Donations have been pouring in from all over the world to assist people who lost their homes during intense floods and a a majority are said to have gone for days without eating.
Constable Edward Dhumuka (32) stationed at Silver Stream Cyclone Idai Base in Chimanimani allegedly hired a kombi to ferry his loot for about five kilometers to a roadside where he loaded it into a Harare bound bus.
His unGodly mission to steal from the hungry and unfortunate came to an end at Rusape Tollgate on Thursday 4 April around 11am when the bus was searched following a tip-off.
""Investigators allegedly recovered 08 Waverley blankets, 7 white sacks, 01 Red bag and 01 Black large bag containing the following property;
20x400g Boom paste, 10x400g Ideal spaghetti, 5kg Meso Kapenta, 4x2kg Maq washing powder, 20x500g Sugar beans, 20x2kg White sugar (Goldstar), 1x3kg Wave washing powder, 1x2kg Surf washing powder, 4x2kg Surf washing powder, 4x2kg 2 in 1 Sunlight washing powder, 6x6x400g packs of candles, 10x500g Mega Rice, 6x2kg Mariana Rice, 1x2kg Excella Rice, 2x2kg Red Seal Rice, 1x2kg Probrand Rice, 1x2kg Ideal Rice, 2x12x375ml Dovi (Mama), 4x1kg Iodised Red Seal salt, 1x1kg Probrand salt, 1x1kg Mega iodised salt, 1x1kg Royal salt, 10 Double Blade shaving machine, Smooth Air clinic set, 2x12x2l Zimgold cooking oil, 10x2kg Probrand Rice, 12 Meiban tissues, 1 Khakhi short, 4 White drying towels, 52 Assorted pairs of ladies shoes and eight Warverly blankets.
""7 Jackets, 26 pairs assorted female shoes, 16x200g tablets FA bathing soap, 3 dark brown shoe polish, 2 jerseys, 12 T-shirts (mixed), 1 pair of Shorts, 2 Ladies jacket, 1 Checked blouse, 1grey striped Tie, 1 Black cap, 1x250ml Vaseline Blue Seal, 5x100ml Vaseline bottles, 01 Shoe brush, 1x50ml Colgate, 1x375ml Dovi,"" said a police source.
Unfazed, Constable Dhumuka insisted he bought the goods from people he did not know.
A comment could not be obtained from the police.
Sources close to investigations said Cst Dhumuka's heist was a minute manifestation of a bigger problem as he could not have stolen all the goods alone.
""If a mere constable can steal so much, it shows the big fish or bigger syndicates are looting more,"" said an investigator.
Donations have been pouring in from all over the world to assist people who lost their homes during intense floods and a a majority are said to have gone for days without eating.
Constable Edward Dhumuka (32) stationed at Silver Stream Cyclone Idai Base in Chimanimani allegedly hired a kombi to ferry his loot for about five kilometers to a roadside where he loaded it into a Harare bound bus.
His unGodly mission to steal from the hungry and unfortunate came to an end at Rusape Tollgate on Thursday 4 April around 11am when the bus was searched following a tip-off.
""Investigators allegedly recovered 08 Waverley blankets, 7 white sacks, 01 Red bag and 01 Black large bag containing the following property;
20x400g Boom paste, 10x400g Ideal spaghetti, 5kg Meso Kapenta, 4x2kg Maq washing powder, 20x500g Sugar beans, 20x2kg White sugar (Goldstar), 1x3kg Wave washing powder, 1x2kg Surf washing powder, 4x2kg Surf washing powder, 4x2kg 2 in 1 Sunlight washing powder, 6x6x400g packs of candles, 10x500g Mega Rice, 6x2kg Mariana Rice, 1x2kg Excella Rice, 2x2kg Red Seal Rice, 1x2kg Probrand Rice, 1x2kg Ideal Rice, 2x12x375ml Dovi (Mama), 4x1kg Iodised Red Seal salt, 1x1kg Probrand salt, 1x1kg Mega iodised salt, 1x1kg Royal salt, 10 Double Blade shaving machine, Smooth Air clinic set, 2x12x2l Zimgold cooking oil, 10x2kg Probrand Rice, 12 Meiban tissues, 1 Khakhi short, 4 White drying towels, 52 Assorted pairs of ladies shoes and eight Warverly blankets.
""7 Jackets, 26 pairs assorted female shoes, 16x200g tablets FA bathing soap, 3 dark brown shoe polish, 2 jerseys, 12 T-shirts (mixed), 1 pair of Shorts, 2 Ladies jacket, 1 Checked blouse, 1grey striped Tie, 1 Black cap, 1x250ml Vaseline Blue Seal, 5x100ml Vaseline bottles, 01 Shoe brush, 1x50ml Colgate, 1x375ml Dovi,"" said a police source.
Unfazed, Constable Dhumuka insisted he bought the goods from people he did not know.
A comment could not be obtained from the police.
Sources close to investigations said Cst Dhumuka's heist was a minute manifestation of a bigger problem as he could not have stolen all the goods alone.
""If a mere constable can steal so much, it shows the big fish or bigger syndicates are looting more,"" said an investigator.
Source - Byo24News
Join the discussion
Loading comments…"
2019-04-07,Mnangagwa Wins Special Award For Cyclone Idai Effort From His Own Prophet Wutaunashe,"ZANU PF President Emmerson Mnangagwa together with the Zimbabwe Defence Forces (ZDF) were this Sunday (today) honoured with special commendation awards in recognition of the good work done in response to the devastating Cyclone Idai which hit Manicaland and other parts of the country.
Mnangagwa was handed the award by his own prophet, the disgraced Andrew Wutaunashe whose church recently split following a shocking adultery scandal.
He is also the same man who last year flew all the way to the United Kingdom to campaign for Mnangagwa using the churches in what many saw as the worst insult to the victins of the 1 August massacre.
The state broadcaster, ZBC reports how Mnangagwa and the ZDF were awarded by Wutaunashe at a special church service held in Ngangu today, Reverend Andrew Wutawunashe thanked Mnangagwa for working tirelessly to ensure relief aid reach all areas affected by the Cyclone Idai.
“Together we can conquer all obstacles if we unite for a purpose”, was the message by Minister of State for Manicaland Provincial Affairs Dr Ellen Gwaradzimba who expressed gratitude to the church for the spiritual comfort and groceries donated to the attendees at the service.
Ministers present at the service who included Minister of Local Government, Public Works and National Housing Cde July Moyo and Minister of Lands, Agriculture, Water, Climate and Rural Resettlement Retired Air Chief Marshal Perrence Shiri said the church plays a central role in bringing people together, promoting love and unity.
The Faith for the Nation campaign pledged to build at least 10 houses for the Cyclone Idai victims, 5 in Chimanimani and 5 in Chipinge and has since committed to rebuilt damaged infrastructure such as schools and clinics.
Meanwhile, the Zion Christian Church (ZCC) over the weekend donated two truck-loads of groceries towards Cyclone Idai survivors in Chimanimani, Masvingo and Bikita."
2019-04-09,Mthuli Ncube Discusses Impact Of 2% Tax In Aftermath Of Cyclone Idai,"They say you can only know the true state of a car when you lift its bonnet and look inside. And so it was back in September, when I was appointed Minister of Finance, and got to take a look at the true state of our nation’s finances. The budget deficit was huge, and growing at a rate of hundreds of millions of US Dollars per month, causing spiralling domestic debt and inflation with negative spillovers to the rest of the economy.
If we were to have any chance to resurrect the Zimbabwean economy and build a better life for the people of this country, we would have to take tough
What was required was to cut unnecessary spending, while at the same time seeking new revenue sources.
We knew that the actions we needed to take would not necessarily make us popular, but they were necessary nonetheless.
I was comforted in this realisation by the wise words of Albert Einstein, who famously wrote that “What is right is not always popular and what is popular is not always right.”
One of the key elements of our strategy to get our finances back on track was the Intermediated Money Transfer Tax (IMTT), popularly referred to as the 2 percent Tax, which we introduced six months ago in October 2018, to replace the previous flat tax of 5 cents per transaction.
The purpose of this tax was twofold. First, it was intended that the 2 percent tax would raise significant revenue to be used to balance the budget and finance various priority development programmes. The tax’s performance in this regard has exceeded all expectations, and to date, we have collected $449 million. This money has helped to cut the monthly budget, for example from a US$242 million deficit in November to a surplus of US$733 million in December, and has also gone towards key projects such as dualisation of Norton strip of the Harare-Bulawayo Highway.
The second goal for this tax was to give government the ability to fund inescapable and unforeseen expenditures, without recourse to debt creating instruments such as Treasury Bills, through the establishment of a dedicated and ring-fenced fund.
We are well aware that we live in a region in which natural disasters are becoming sadly ever more common, and that therefore,
The ongoing Cyclone Idai disaster is one such event.
The images of the dead, injured and displaced were heartbreaking, and the nation has been united in grief for the lives ruined by this devastating and unexpected disaster.
From a governmental perspective, Cyclone Idai necessitated an urgent and immediate need for resource mobilisation to mitigate against its effects and support those affected.
In the past, this would have meant further Government borrowing, leading to extra debt and long term economic ramifications.
But fortunately, funds from the 2 percent tax that were put aside for exactly this eventuality, and became available exactly when they were most needed.
We had initially earmarked $50 million to cover the emergency requirements for mitigating the impact of such a disaster, yet due to the increased performance of the fund, we were able to increase this allocation to a much needed $100million.
These funds are being used to help those who most in need of our help.
This article is not intended to be self-congratulatory. Far from it. There is so much more to do to mitigate the impact of Cyclone Idai, and this sum we have put aside amounts to around one tenth of the estimated one billion dollars we require to cater for non-infrastructure supplies as well as quick infrastructure rehabilitation of roads and bridges, power, communication, irrigation, housing and water. The scale of the need will require the coordination and support of public, private and development partners, and while we greatly appreciate all the support we have already received, much more is needed.
But what Cyclone Idai has done is to reaffirm the need for long term economic planning and sobriety, even if it is unpopular. Nobody likes to be asked to pay more taxes, certainly not those who are already struggling to make ends meet. We are aware of this, and are doing all we can to spread the burden evenly, and minimise what we ask for from those who have the least.
But in just six months, the 2 percent tax has helped us to cut the deficit, invest in vital infrastructure, and put aside a sizeable sum that is being used to mitigate the effects of Cyclone Idai. Simply put, the 2 percent tax enables us to help those desperately in need of our assistance. Whatever your politics, whether popular or not, it is the right thing to do.
Abouth author
Hon. Prof Mthuli NcubeZimbabwe Minister of Finance & Economic Development
Comments
5 responses
What the Honourable Minister misses is that this revenue collection is at the expense of the private sector. Economics 101. Let’s see where the economy is in a years time.
Ma professor emuZim surrender.
I actually agree with your tax…I think business should be exempt for paying for their purchases from their company account and hence avoid double taxation and promote productivity…as for my personal account I don’t mind paying but that comes with strings … If my money is well spent then you have your cake. And I want and
An audit for it …I don’t do see in the papers that yet another fund has been looted by corrupt officials… What have you put in place to guarantee protection from this malice
It’s probably the same money being channelled to the hire of the luxurious jet by the higher offices.
AS LONG AS NYIKA IINE ZANU PF WHATEVER BRILLIANT IDEAS YOU CAN PUT CANNOT OVER SHADOW THE FACT THAT IT NEEDS TO WIN THE NEXT ELECTIONS …., SO IT WILL PRIORITIES THOSE ….
ZANU CHORORO KUGONA KUIJOINA"
2019-03-17,Chamisa Appeals To Zimbabweans To Assist Cyclone Idai Victims ⋆ Pindula News,"MDC leader Nelson Chamisa has appealed to Zimbabweans to assist cyclone Idai victims.
Writing on Twitter, Chamisa said MDC structures are responding to the situation. Said Chamisa:
CYCLONE IDAI HAS TRAGICALLY left a trail of disaster in Manicaland from where it started battering Zimbabwe. My heart goes out to the victims. MDC provincial & national structures are responding vigilantly. I appeal to our progressive partners to extend their usual helping hand.
Cyclone Idai has caused untold devastation on our fellow people in Manicaland. It’s a huge tragedy. Lives have been lost. We empathise with all who have suffered from the natural catastrophe. We appeal to well-wishers to support our people in need.
The state has an obligation to support citizens in need. Let us mobilise everything necessary to ensure the safety and comfort of citizens. The latest tragedy is an important reminder of the necessity of the state’s disaster-preparedness.
Leave a Reply"
2019-04-11,UNHCR boosts airlifted supplies for Cyclone Idai victims in Zimbabwe,"reliefweb
10 Apr 2019, 20:09 GMT+10
10 April 2019, Harare The United Nations High Commissioner for Refugees (UNHCR) airlifted supplies for refugees affected by Cyclone Idai. The consignment, which arrived yesterday at Robert Mugabe International Airport yesterday evening, follows on the first consignment of emergency relief earmarked for Zimbabweans, which arrived on March 31. The supplies from the first consignment have been distributed in Chipinge and will reach Chimanimani next week.
The airlift, which arrived at Robert G. Mugabe International Airport, includes blankets, kitchen sets, jerry cans, mosquito nets, solar lamps, sanitary pads and soap destined for Tongogara refugee camp, where 1200 families had their homes destroyed or severely damaged by the cyclone.
Zimbabwe has been a generous host to refugees for many years and we are grateful for our continued close collaboration, said UNHCR Country Representative Robert Tibagwa. When the Cyclone hit we knew we needed to stand with Zimbabwe and help all people affected by this disaster. This second airlift will provide much needed aid to our refugees in Tongogara and help them on the road to recovery.
Zimbabwe hosts over 20,000 refugees and asylum-seekers mainly in Tongogara Refugee Camp. Cyclone Idai has destroyed a number of homes in the refugee camp, water and sanitary system were severely affected leading to a shortage of clean drinking water. UNHCR is prioritising the repair of this system and the construction of stronger homes for refugees in the camp so they can withstand such storms in the future.
Vulnerable people, including women and children, are at risk and in need of relief and recovery support. About 95 per cent of the infrastructure, including schools, roads and bridges have been damaged in Chimanimani district.
UNHCR is part of the humanitarian team working in close collaboration with the Government of Zimbabwe and other humanitarian partners to ensure people receive the required assistance and are protected from risks and dangers. UNHCR has also deployed a team of emergency response experts to support relief efforts.
UNHCR is grateful to its corporate partner International Humanitarian City (IHC) which has donated the aid flight.
For more information, please contact: Robert Tibagwa, UNHCR Country Representative in Zimbabwe [email protected] or Mob # +263782742574 website: www.unhcr.org
Sirak Gebrehiwot, UN Communications Specialist in Zimbabwe on [email protected] or Mob # +263 772 198 036, www.zw.one.un.org
Stephen Pattison, UNHCR Reporting Officer [email protected], or Mob # +263 0774807881
Get a daily dose of Zimbabwe Star news through our daily email, its complimentary and keeps you fully up to date with world and business news as well.
Publish news of your business, community or sports group, personnel appointments, major event and more by submitting a news release to Zimbabwe Star.
More InformationWASHINGTON, DC - In a stunning 11th hour development, former President Donald J. Trump has announced on Truth Social that he has suspended...
ISTANBUL, Turkey: Turkish police shot and killed one attacker in a gunfight outside a building housing the Israeli Consulate in Istanbul,...
KABUL, Afghanistan: Nearly 110 people have died from the extreme weather that has triggered widespread flooding and landslides in many...
WASHINGTON, D.C.: Detailing the mission to rescue the two-man fighter jet crew downed deep inside Iran, U.S. President Donald Trump...
TEHRAN, Iran - A historic synagogue in Tehran has been completely destroyed by U.S.-Israeli strikes that killed at least 15 people...
BEIJING, China: China has unveiled new guidance for its e-commerce sector, signalling a push to balance domestic growth with global...
The decision followed pressure from ruling party lawmakers who raised concerns over leadership and spending South Sudanese President...
Madagascar is facing a deep crisis, particularly in areas where supplies usually come from the Middle East, the government has said...
I am a teacher who lost his home, endured exile, and returned to begin from nothing -- or rather, to begin again. by Hamouda Ibrahim...
(Photo credit: Katie Goodale-Imagn Images) AUGUSTA, Ga. -- Bryson DeChambeau rolled down Magnolia Lane this week confident that his...
The former French president has again rejected allegations that his 2007 campaign was bankrolled by Libya, as an appeals court re-examines...
Cape Town [South Africa], April 8 (ANI): The Africa Cricket Association (ACA) is exploring the idea of launching a continental T20..."
2019-04-11,UN Refugee Agency rachets up relief airlift for Cyclone Idai,"Harare – The United Nations High Commissioner for Refugees (UNHCR) airlifted supplies for refugees affected by Cyclone Idai.
Source: UN Refugee Agency rachets up relief airlift for Cyclone Idai – The Zimbabwean
The consignment, which arrived yesterday at Robert Mugabe International Airport yesterday evening, follows on the first consignment of emergency relief earmarked for Zimbabweans, which arrived on March 31. The supplies from the first consignment have been distributed in Chipinge and will reach Chimanimani next week.
The airlift, which arrived at Robert G. Mugabe International Airport, includes blankets, kitchen sets, jerry cans, mosquito nets, solar lamps, sanitary pads and soap destined for Tongogara refugee camp, where 1200 families had their homes destroyed or severely damaged by the cyclone.
“Zimbabwe has been a generous host to refugees for many years and we are grateful for our continued close collaboration,” said UNHCR Country Representative Robert Tibagwa. “When the Cyclone hit we knew we needed to stand with Zimbabwe and help all people affected by this disaster. This second airlift will provide much needed aid to our refugees in Tongogara and help them on the road to recovery.”
Zimbabwe hosts over 20,000 refugees and asylum-seekers mainly in Tongogara Refugee Camp. Cyclone Idai has destroyed a number of homes in the refugee camp, water and sanitary system were severely affected leading to a shortage of clean drinking water. UNHCR is prioritising the repair of this system and the construction of stronger homes for refugees in the camp so they can withstand such storms in the future.
Vulnerable people, including women and children, are at risk and in need of relief and recovery support. About 95 per cent of the infrastructure, including schools, roads and bridges have been damaged in Chimanimani district.
UNHCR is part of the humanitarian team working in close collaboration with the Government of Zimbabwe and other humanitarian partners to ensure people receive the required assistance and are protected from risks and dangers. UNHCR has also deployed a team of emergency response experts to support relief efforts.
UNHCR is grateful to its corporate partner International Humanitarian City (IHC) which has donated the aid flight.
COMMENTS"
2019-04-10,Govt Says Manicaland Was Hit By An Earth Quake Immediately Before Cyclone Idai,"A 3.8 magnitude earthquake rattled Chimanimani and Chipinge shortly before Cyclone Idai which left 344 people dead and destroyed property worth billions of dollars, Government has revealed.
During his two visits to Chimanimani and Chipinge, President Mnangagwa highlighted that there was an unexplained phenomenon that happened in the areas which experts should investigate.
Information, Publicity and Broadcasting Services Minister Monica Mutsvangwa briefed journalists after the eleventh meeting of Cabinet in Harare yesterday that Government was also working on relocating people in some of the areas affected by the cyclone.
Further, Government is planning to establish monuments at three centres that were hard hit by the cyclone.
This comes at a time when Government has revealed that it is seeking $612 million to assist victims of the natural disaster.
“Cabinet has also established that the scale of the disaster was to some extent exacerbated by a 3.8 magnitude earthquake which hit the Chimanimani areas shortly before the onset of the cyclone,” she said.
“A team of experts is currently on the ground in the Chimanimani and Chipinge areas carrying out a disaster vulnerability assessment exercise with a view to determining the suitable long term settlement and land use patterns.
“Plans are also underway to establish monuments in honour of the departed persons in places such as Ngangu, Machongwe and Copa.
“Priority continues to be accorded to the repair or construction of damaged roads, and bridges, schools infrastructure, health infrastructure and provision of large scale psycho-social support.”
As part of efforts to bring closure to the issue of missing persons as a result of the cyclone, Minister Mutsvangwa said Government would send a team of pathologists to Mozambique to take samples of the remains of Zimbabweans buried in that country to conduct DNA tests.
“The search and recovery process is now confined to recovery of the deceased as the missing persons can now be presumed to be dead,” she said.
“Specialised equipment and the relevant expertise are being mobilised towards the recovery of the bodies buried under massive rock debris. Further, Cabinet wishes to advise that a team of pathologists will travel to Mozambique to collect samples of the remains of Zimbabweans who were buried there in order to facilitate the conduct of DNA test and subsequent positive identification by their relatives.”
In the consolidated Tropical Cyclone Idai International Humanitarian Appeal that Minister Mutsvangwa shared with the media yesterday, Government outlined key areas that it required assistance and a budget breakdown.
With regards to food security and nutrition, Government said it required $29 million while emergency shelter and non-food items requires $75 million.
The budget of Water, Sanitation and Hygiene (WASH) and Education stand at $51 million and $10 million respectively while logistics and emergency telecommunication requires $155 million.
The budget for environment, forestry and wildlife restoration is $4,5 million and another $20 million is required for protection facilities.
Local Government, Public Works and National Housing Minister July Moyo said President Mnangagwa had taken a hard stance against the abuse of goods donated as aid to the cyclone victims.
He said the President made it clear that anyone caught stealing or abusing the aid should go to jail.
Minister Moyo said people who were arrested so far for abuse of the aid were officials employed to distribute the food.
State Media"
2019-04-10,“3.8 Magnitude Earthquake Struck Manicaland Shortly Before Cyclone Idai”: Minister,"By Own Correspondent- A 3.8 magnitude earthquake struck Chimanimani and Chipinge shortly before Cyclone Idai which left over 344 people dead and destroyed property worth billions of dollars, a senior Government official has revealed.
Information, Publicity and Broadcasting Services Minister Monica Mutsvangwa told journalists at a post cabinet briefing that government was also working on relocating people in some of the areas affected by the cyclone.
Said Mutsvangwa:
“Cabinet has also established that the scale of the disaster was to some extent exacerbated by a 3.8 magnitude earthquake which hit the Chimanimani areas shortly before the onset of the cyclone,” she said.
“A team of experts is currently on the ground in the Chimanimani and Chipinge areas carrying out a disaster vulnerability assessment exercise with a view to determining the suitable long term settlement and land use patterns.
“Plans are also underway to establish monuments in honour of the departed persons in places such as Ngangu, Machongwe and Copa.”-StateMedia."
