publish_date,title,clean_text
2019-04-09,Comissão vai acompanhar a distribuição de alimentos às vítimas do ciclone Idai,"João Almeida Lopes protegeu-se da pandemia com comprimidos de ivermectina. Trata-se de um antiparasitário dos anos 1980, que foi Prémio Nobel da Medicina em 2015."
2019-04-10,Número de mortos no Zimbabué devido ao ciclone Idai atualizado para 344,"João Almeida Lopes protegeu-se da pandemia com comprimidos de ivermectina. Trata-se de um antiparasitário dos anos 1980, que foi Prémio Nobel da Medicina em 2015."
2019-04-12,Idai: Campanha do Governo da Madeira atinge dez toneladas de donativos,"A campanha lançada pelo Governo Regional “Madeira e Porto Santo: Juntos por Moçambique” angariou cerca de dez toneladas entre bens alimentares e de higiene, revelou, na passada quinta-feira, a Secretária Regional da Inclusão e dos Assuntos Sociais.
Rita Andrade revelou que foram angariadas quatro toneladas de água, duas toneladas de alimentos enlatados, duas toneladas de sabão azul e lixívia, 450 quilogramas de fraldas e perto de uma tonelada de roupa.
O Secretário Regional da Saúde, Pedro Ramos, revelou que, com o apoio das 10 distribuidoras de medicamentos na Região, será possível enviar 15 mil unidades de medicamentos para combater a cólera e outras infeções.
“Não podemos ficar de braços cruzados perante esta situação”, observou Pedro Ramos.
Esta campanha teve o apoio do Banco Alimentar Contra a Fome na Madeira, da Cáritas Diocesana do Funchal e da Delegação da Madeira da Cruz Vermelha Portuguesa, aos quais associaram-se entidades privadas nomeadamente o Grupo Sousa, Grupo Enotel, Farmácia Madeira e Farmácia Funchal, e os Distribuidores de Medicamentos da Região Autónoma da Madeira, Diário de Notícias da Madeira, JM e RTP-Madeira.
O material recolhido será enviado no domingo para Moçambique para apoiar a população afetada pelo ciclone ‘Idai’.
O ciclone atingiu a região centro de Moçambique, o Maláui e o Zimbabué em 14 de março.
Em Moçambique, o ciclone fez 602 mortos e 1.641 feridos e afetou mais de 1,5 milhões de pessoas, segundo o mais recente balanço.
O Ministério da Saúde de Moçambique anunciou na terça-feira a sétima morte causada pelo surto de cólera que surgiu a seguir à passagem do ciclone Idai pelo centro do país.
Tagus Park – Edifício Tecnologia 4.1
Avenida Professor Doutor Cavaco Silva, nº 71 a 74
2740-122 – Porto Salvo, Portugal
online@medianove.com"
2019-04-13,Idai: Oferta de sementes e comida tenta prevenir fome em Moçambique,"O primeiro lote, que começou a ser distribuído esta semana, continha 180 toneladas de sementes de milho e feijão, além de mais de 500 toneladas de arroz, feijão e óleo alimentar, para os camponeses em aldeias dos distritos de Nhamatanda e Búzi (Sofala) e Sussundenga e Macate (Manica), para evitar a fome.
Segundo as autoridades, o objetivo é prevenir a insegurança alimentar e recaídas, bem como venda de outras doações ou poupanças nos cuidados de saúde.
“O ciclone Idai destruiu praticamente todas as culturas na fase de colheita” disse à Lusa Olman Serrano, representante da FAO em Moçambique, sustentando que a distribuição simultânea de sementes e comida “vai permitir que se evite perder a semente por causa da fome”.
Caso não fossem distribuídos alimentos, “as famílias podiam confecionar as sementes para se alimentar, o que não seria saudável”.
O responsável disse que os ‘kits’ distribuídos – sementes de ciclo curto, duas enxadas e uma catana – vão permitir que os camponeses recomecem o ciclo agrário, com a segunda época da agricultura de sequeiro, que inicia em abril.
Cada ‘kit’ permite que um camponês produza meio hectare de milho e um hectare de feijão, sendo desafiado a colher 600 quilogramas de milho e 150 quilogramas de feijão, respetivamente, o suficiente para assegurar alimentos por seis meses, até à principal época agrícola, que arranca em outubro.
Olman Serrano reconheceu, contudo, que continua a ser um desafio a segurança alimentar da população, após as perdas de culturas nas áreas afetadas, que já viviam em regime de subsistência, devido à falta de produção em quantidade.
Numa segunda fase, será fornecido aos camponeses sementes de hortícolas de alto rendimento no inverno.
Por sua vez, Karin Manente, representante do PMA em Moçambique, considerou crucial a necessidade de alimentar as famílias camponesas, vítimas do ciclone Idai, para assegurar que possam recomeçar o ciclo de produção agrícola, para a sua autossuficiência.
“É importante continuar a dar assistência alimentar às famílias camponesas afetadas, até elas conseguirem se abastecer com as suas culturas” disse à Lusa Karin Manente.
Por seu turno, Higino de Marrule, ministro moçambicano da Agricultura e Segurança Alimentar, que orientou a cerimónia de entrega em Ndedja, uma aldeia de Tica, distrito de Nhamatanda, apelou à população camponesa que retire proveito da humidade nas áreas inundadas pelas chuvas, após a passagem do ciclone, para uma maior produtividade.
A FAO estima que o ciclone já tenha causado a perda de cerca de 500 mil hectares de colheitas na região centro de Moçambique, agravando a insegurança alimentar da área e do país.
Tagus Park – Edifício Tecnologia 4.1
Avenida Professor Doutor Cavaco Silva, nº 71 a 74
2740-122 – Porto Salvo, Portugal
online@medianove.com"
2019-04-14,Populações afetadas pelo ciclone Idai em Moçambique assustadas com novas chuvas,"João Almeida Lopes protegeu-se da pandemia com comprimidos de ivermectina. Trata-se de um antiparasitário dos anos 1980, que foi Prémio Nobel da Medicina em 2015."
2019-04-14,"Idai. Unicef alerta que pelo menos 1,6 milhões de crianças precisam de ajuda urgente","Este artigo tem mais de 6 anos
A Unicef alertou hoje que pelo menos 1,6 milhões de crianças afetadas pelo ciclone Idai precisam urgentemente de cuidados de saúde, nutrição, água e saneamento, expressando especial preocupação com os mais de 130 mil menores que permanecem deslocados.
“Pelo menos 1,6 milhões de crianças precisam de assistência urgente ao nível dos cuidados de saúde, nutrição, proteção, educação, água e saneamento. Qualquer interrupção prolongada no acesso a serviços essenciais pode levar a surtos de doenças e picos de subnutrição, a que as crianças são especialmente vulneráveis”, alertou em comunicado a Unicef, Fundo das Nações Unidas para Infância.
A Unicef Portugal angariou um milhão de euros de donativos que já foram transferidos para o Fundo de Emergência para Moçambique, sublinhando a “generosidade dos portugueses” neste processo, enquadrado no apelo de emergência de 107 milhões de euros para o apoio humanitário feito pela organização.
Comentários"
2019-04-15,Amnistia Internacional diz que é preciso mais assistência a afetados pelo ciclone Idai,"“Um mês após o devastador ciclone Idai, descrito como um dos piores desastres climáticos na África austral, a comunidade internacional precisa fazer mais para ajudar as pessoas afetadas”, refere a AI, num comunicado divulgado hoje.
O ciclone Idai atingiu a região centro de Moçambique, o Maláui e o Zimbabué em 14 de março, provocando mais de mil mortos nos três países.
O ciclone e as cheias que se seguiram deixaram “um rasto de sofrimento, causando ainda mais caos” e “muitos mais recursos financeiros e técnicos são necessários para assegurar que as pessoas tenham acesso ao que precisam”, frisou o diretor regional da AI para a África Austral, Deprose Muchena, citado no comunicado.
“Embora a resposta humanitária liderada pelos governos dos três países afetados continue a aumentar, ainda há uma grande lacuna nos fundos necessários para a resposta necessária. Dos cerca de 390 milhões de dólares (346 milhões de euros) exigidos, apenas 88 milhões de dólares (78 milhões de euros) foram recebidos”, alertou o responsável da AI.
Deprose Muchena asseverou que Maláui, Moçambique e Zimbabué “não podem lidar sozinhos com as consequências devastadoras”.
“Isso não é suficiente para lidar com o impacto devastador do ciclone. Fornecer mais assistência é imperativo para proteger os direitos humanos”, acrescentou Deprose Muchena.
O diretor regional da AI lembrou os “milhares casos de malária e cólera” e afirmou que “as pessoas ainda estão lutando para suprir as suas necessidades básicas, pois ainda enfrentam escassez de alimentos, riscos para a saúde e falta de acesso à água potável como resultado da infraestrutura danificada”.
Mais assistência internacional “é necessária para garantir que as pessoas não fiquem sem bens essenciais, como alimentos, água potável e medicamentos”, disse Deprose Muchena, sustentando que “esta situação mostra como os direitos das pessoas estão em risco e precisam ser urgentemente protegidos, não apenas agora, mas também nos próximos meses, durante os quais os efeitos do ciclone ainda serão sentidos”.
O Banco Mundial calcula que sejam necessários 2.000 milhões de dólares (1.768 milhões de euros) para recuperar infraestruturas e meios de sustento nos países afetados pela passagem do ciclone Idai por Moçambique, Maláui e Zimbabué.
Na quinta-feira passada, a Comunidade de Desenvolvimento da África Austral lançou um apelo para a recolha de 323 milhões de dólares (287 milhões de euros) para “responder à crise de forma eficaz” e “prestar assistência humanitária com urgência”, após a passagem do ciclone que terá afetado cerca de três milhões de pessoas.
Comentários"
2019-04-17,"Ciclone Idai: Setor da Educação de Moçambique precisa de 27,5 milhões de euros para reconstruir infraestruturas","Conceita Sortane, citada hoje pelo Notícias, afirmou que o dinheiro será usado na reconstrução ou reabilitação de mais de seis mil salas de aula nas províncias de Sofala, Manica, Tete e Zambézia, as quatro afetadas pela passagem do ciclone Idai no dia 14 de março e inundações que se seguiram.
""O valor será reajustado em função do levantamento que está a decorrer visando apurar as necessidades de reabilitação e aquisição de material didático para alunos e professores"", afirmou Sortane.
O plano de reconstrução pós-Idai no setor da educação será entregue ao Gabinete de Reconstrução criado pelo Governo moçambicano na terça-feira desta semana.
Doravante, prosseguiu a ministra da Educação, a construção de infraestruturas vai atender à necessidade de dotá-las de material resistente a calamidades naturais, em linha com as diretrizes da ONU-Habitata, organismo das Nações Unidas especializada em assuntos de habitação.
O ciclone Idai, que afetou também o Maláui e o Zimbabué, provocou 603 mortos em Moçambique e afetou mais de 1,5 milhões de pessoas, segundo as autoridades moçambicanas.
Muitas infraestruturas, incluindo escolas e unidades de cuidados de saúde, foram destruídas ou ficaram danificadas.
Comentários"
2019-04-18,Idai: Prémios de música em Cabo Verde destinam receita de bilheteira a Moçambique,"Este artigo tem mais de 6 anos
Os prémios da música de Cabo Verde (CVMA) vão destinar as receitas de bilheteira da gala, que se realiza em 04 de maio, ao povo moçambicano, afetado pelo ciclone Idai em meados de março, anunciou hoje a organização.
“Este ano, decidiu a organização dos CVMA, a receita da bilheteira é destinada ao povo da Beira, em Moçambique, que, após a passagem do ciclone Idai, viu a sua região devasta e agora carece dos mais essenciais bens, desde comida, roupa, habitação, a escola e cuidados de saúde básicos”, lê-se numa nota de imprensa.
Os Cabo Verde Music Awards (CVMA) atribuem o prémio Responsabilidade Social, em que parte do valor arrecadado com a bilheteira da gala a causas e instituições do país.
O ciclone Idai, que afetou também o Maláui e o Zimbabué, provocou 603 mortos em Moçambique e afetou mais de 1,5 milhões de pessoas, segundo as autoridades moçambicanas.
Comentários"
2019-04-19,Ciclone Idai: FMI aprovou empréstimo de 105 milhões para apoiar a reconstrução de Moçambique,"O conselho executivo do Fundo Monetário Internacional (FMI) aprovou a concessão de um empréstimo de emergência no valor de 118,2 milhões de dólares (105 milhões de euros) destinado a apoiar Moçambique após a destruição causada pelo ciclone Idai.
A assistência financeira destina-se a suprir as lacunas de financiamento orçamental e externo decorrentes das necessidades de reconstrução após o ciclone, que causou perdas significativas de vidas humanas e danos nas infraestruturas, adiantou hoje a instituição em comunicado.
O pedido de Moçambique foi conhecido a 26 de março e visa fazer face à destruição provocada pela catástrofe.
O FMI empresta, em situações de emergência, entre 60 a 120 milhões de dólares (cerca de 53 a 106 milhões de euros), no âmbito do Instrumento de Crédito Rápido (RCF, na sigla inglesa).
Tagus Park – Edifício Tecnologia 4.1
Avenida Professor Doutor Cavaco Silva, nº 71 a 74
2740-122 – Porto Salvo, Portugal
online@medianove.com"
