id,thread_id,author,body,timestamp,unix_timestamp,position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,tags,videoCategoryId,videoCategoryLabel,topicCategories,duration,durationSec,dimension,definition,caption,defaultLanguage,defaultLAudioLanguage,thumbnail_maxres,licensedContent,hasPaidProductPlacement,locationDescription,latitude,longitude,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,source_filename,date_collected,youtube_url
LbJ2KyQGvuw,UC16niRr50-MSBwiO3YDb3RA,68000aa2d99d0f3b75749872561160bed7c2644f8b78d320,"As Mozambique counts the cost of Cyclone Idai, the BBC's Africa editor Fergal Keane joined a helicopter flight over some of the worst-affected areas. The pilot pointed towards the east across the expanse of brown water. ""We are 15 miles from the sea,"" he said, ""but it feels as if we are right over it."" He was right. Below us, farmland that had been home to thousands of people had disappeared. Charities say thousands of people are stranded by catastrophic flooding, clinging to roofs or stuck in trees. About 300 people are confirmed dead in Mozambique and Zimbabwe, but the toll is expected to rise. Please subscribe HERE http://bit.ly/1rbfUog",2019-03-21 12:15:11,1553170511,1,UC16niRr50-MSBwiO3YDb3RA,BBC News,LbJ2KyQGvuw,2019-03-21T12:15:11Z,2019-03-21 12:15:11,Cyclone Idai: Flying over flooded Mozambique - BBC News,"As Mozambique counts the cost of Cyclone Idai, the BBC's Africa editor Fergal Keane joined a helicopter flight over some of the worst-affected areas. The pilot pointed towards the east across the expanse of brown water. ""We are 15 miles from the sea,"" he said, ""but it feels as if we are right over it."" He was right. Below us, farmland that had been home to thousands of people had disappeared. Charities say thousands of people are stranded by catastrophic flooding, clinging to roofs or stuck in trees. About 300 people are confirmed dead in Mozambique and Zimbabwe, but the toll is expected to rise. Please subscribe HERE http://bit.ly/1rbfUog","bbc,bbc news,news",25,News & Politics,Society,PT1M39S,99,2d,hd,false,en,en-GB,,1,,,,,308623,894,,0,194,videolist_search483_2026_04_18-14_39_15.csv,2026_04_18-14_39_15,https://www.youtube.com/watch?v=LbJ2KyQGvuw
Pf3Ke9A5Dzs,UCknLrEdhRCp1aegoMqRaCZg,77fd409da16259d699f0258c63e060da915f39fc2b59f467,"The port city of Beira in Mozambique was one of the worst affected places hit when Cyclone Idai swept over southeastern Africa. The storm killed more than one thousand people in Mozambique, Zimbabwe and Malawi. Hundreds of people are still missing as a result of the severe flooding that hit the region and outbreaks of cholera and malaria have added to the suffering. The World Bank estimates that three million people are still suffering the after-effects of the natural disaster. DW's Adrian Kriesch met with the mayor of Beira, who is fighting a daily battle to overcome the emergency left by the storm and to help his city move on. Subscribe: https://www.youtube.com/user/deutschewelleenglish?sub_confirmation=1 For more news go to: http://www.dw.com/en/ Follow DW on social media: ►Facebook: https://www.facebook.com/deutschewellenews/ ►Twitter: https://twitter.com/dwnews ►Instagram: https://www.instagram.com/dw_stories/ Für Videos in deutscher Sprache besuchen Sie: https://www.youtube.com/channel/deutschewelle #Mozambique #Beira #Idai",2019-04-16 12:04:26,1555416266,2,UCknLrEdhRCp1aegoMqRaCZg,DW News,Pf3Ke9A5Dzs,2019-04-16T12:04:26Z,2019-04-16 12:04:26,Cyclone Idai: Mozambique struggles to recover from devastation | DW News,"The port city of Beira in Mozambique was one of the worst affected places hit when Cyclone Idai swept over southeastern Africa. The storm killed more than one thousand people in Mozambique, Zimbabwe and Malawi. Hundreds of people are still missing as a result of the severe flooding that hit the region and outbreaks of cholera and malaria have added to the suffering. The World Bank estimates that three million people are still suffering the after-effects of the natural disaster. DW's Adrian Kriesch met with the mayor of Beira, who is fighting a daily battle to overcome the emergency left by the storm and to help his city move on. Subscribe: https://www.youtube.com/user/deutschewelleenglish?sub_confirmation=1 For more news go to: http://www.dw.com/en/ Follow DW on social media: ►Facebook: https://www.facebook.com/deutschewellenews/ ►Twitter: https://twitter.com/dwnews ►Instagram: https://www.instagram.com/dw_stories/ Für Videos in deutscher Sprache besuchen Sie: https://www.youtube.com/channel/deutschewelle #Mozambique #Beira #Idai","Cyclone Idai,Idai,Cyclone Idai Mozambique,Idai Mozambique,Cyclone Mozambique,Mozambique,Cyclone Idai Beira,Idai Beira,Cyclone Beira,Mozambique floods,floods Mozambique,Idai floods,Idai floodine,Mozambique flooding,World Bank Cyclone Idai,Deutsche Welle,DW,DW News",25,News & Politics,"Politics,Society",PT5M11S,311,2d,hd,false,en-US,en,,1,,,,,3275,28,,0,0,videolist_search483_2026_04_18-14_39_15.csv,2026_04_18-14_39_15,https://www.youtube.com/watch?v=Pf3Ke9A5Dzs
-FUcuq5Tw_Q,UCNye-wNBqNL5ZzHSJj3l8Bg,a14d326311c0dd42593d2980bbd13a3d68f925aec838503c,"In Zimbabwe, the floods have cut off communities, making it hard for help to reach them. People say they cannot wait any longer for authorities to help them find their relatives. So they are digging themselves. Survivors believe those who were not swept away in the flash floods could be buried under the debris. Al Jazeera's Haru Mutasa reports from Coppa. - Subscribe to our channel: http://aje.io/AJSubscribe - Follow us on Twitter: https://twitter.com/AJEnglish - Find us on Facebook: https://www.facebook.com/aljazeera - Check our website: https://www.aljazeera.com/ #AlJazeeraEnglish #CycloneIdai #Zimbabwe",2019-03-22 13:35:45,1553261745,3,UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,-FUcuq5Tw_Q,2019-03-22T13:35:45Z,2019-03-22 13:35:45,🇿🇼 Cyclone Idai: Families hunt for missing relatives in Zimbabwe l Al Jazeera English,"In Zimbabwe, the floods have cut off communities, making it hard for help to reach them. People say they cannot wait any longer for authorities to help them find their relatives. So they are digging themselves. Survivors believe those who were not swept away in the flash floods could be buried under the debris. Al Jazeera's Haru Mutasa reports from Coppa. - Subscribe to our channel: http://aje.io/AJSubscribe - Follow us on Twitter: https://twitter.com/AJEnglish - Find us on Facebook: https://www.facebook.com/aljazeera - Check our website: https://www.aljazeera.com/ #AlJazeeraEnglish #CycloneIdai #Zimbabwe","aljazeera.com,cyclone zimbabwe,africa,zimbabwe news,zimbabwe,al jazeera,aljazeera,aljazeera english,africanews,al jazeera english,cyclone eline,zimbabwe storm,cyclone idai,aljazeera news,zimbabwe survivor rescue,aljazeera live",25,News & Politics,Society,PT2M53S,173,2d,hd,false,en,en,https://i.ytimg.com/vi/-FUcuq5Tw_Q/maxresdefault.jpg,1,,,,,116688,180,,0,47,videolist_search483_2026_04_18-14_39_15.csv,2026_04_18-14_39_15,https://www.youtube.com/watch?v=-FUcuq5Tw_Q
yWoe4F_EXHY,UCEXGDNclvmg6RW0vipJYsTQ,423d2f430e02eb4ad66440814dc3369f53b54054d118e22e,For more interesting and trending videos CLICK HERE: https:https://bit.ly/2H9WGBh Don’t forget to SUBSCRIBE HERE for updates on uploads: https://bit.ly/2Hb8hjx You can also LIKE Us on Facebook: https://www.facebook.com/channelsforum/ Follow Us on Twitter HERE: https://twitter.com/channelstv Check out our full video catalogue: http://www.youtube.com/user/channelsweb/videos For more information log on to http://www.channelstv.com #ChannelsTv,2019-03-18 18:45:28,1552934728,4,UCEXGDNclvmg6RW0vipJYsTQ,Channels Television,yWoe4F_EXHY,2019-03-18T18:45:28Z,2019-03-18 18:45:28,Cyclone Idai Makes Landfall In Zimbabwe |Network Africa|,For more interesting and trending videos CLICK HERE: https:https://bit.ly/2H9WGBh Don’t forget to SUBSCRIBE HERE for updates on uploads: https://bit.ly/2Hb8hjx You can also LIKE Us on Facebook: https://www.facebook.com/channelsforum/ Follow Us on Twitter HERE: https://twitter.com/channelstv Check out our full video catalogue: http://www.youtube.com/user/channelsweb/videos For more information log on to http://www.channelstv.com #ChannelsTv,"Channels Television,Channels TV,Africa News,Top African News,Breaking news,Nigerian Top Stories",25,News & Politics,"Society,Television_program",PT9M10S,550,2d,hd,false,en-GB,en-GB,https://i.ytimg.com/vi/yWoe4F_EXHY/maxresdefault.jpg,1,,,,,28296,,,0,2,videolist_search483_2026_04_18-14_39_15.csv,2026_04_18-14_39_15,https://www.youtube.com/watch?v=yWoe4F_EXHY
KXo7bq4o6pw,UC1_E8NeF5QHY2dtdLRBCCLA,b361efa9add82a0d4ad259924c39228b9b0648d0090674c7,"Cyclone Idai has killed at least 64 people in eastern Zimbabwe and destroyed homes, bridges and roads, making rescue efforts difficult, a government minister said on Sunday. The tropical storm has already pounded neighbouring Malawi and Mozambique. The latter has cut electricity exports to South Africa, which led to rolling blackouts in Africa’s most industrialised economy. “The death toll has risen from 31 to over 64 now. Some of the bodies have been found floating along the rivers,” July Moy… READ MORE : http://www.africanews.com/2019/03/18/rampaging-cyclone-idai-kills-89-people-in-eastern-zimbabwe Africanews on YouTube brings you a daily dose of news, produced and realised in Africa, by and for Africans. Africanews is the first pan-African multilingual media outlet, unique in its concept and vision. Subscribe on our Youtube channel https://www.youtube.com/c/africanews and receive all the latest news from the continent. Africanews is available in English and French. Website : www.africanews.com Facebook : https://www.facebook.com/africanews.channel/ Twitter : https://twitter.com/africanews",2019-03-18 13:26:19,1552915579,5,UC1_E8NeF5QHY2dtdLRBCCLA,africanews,KXo7bq4o6pw,2019-03-18T13:26:19Z,2019-03-18 13:26:19,Rampaging cyclone Idai kills 89 people in eastern Zimbabwe,"Cyclone Idai has killed at least 64 people in eastern Zimbabwe and destroyed homes, bridges and roads, making rescue efforts difficult, a government minister said on Sunday. The tropical storm has already pounded neighbouring Malawi and Mozambique. The latter has cut electricity exports to South Africa, which led to rolling blackouts in Africa’s most industrialised economy. “The death toll has risen from 31 to over 64 now. Some of the bodies have been found floating along the rivers,” July Moy… READ MORE : http://www.africanews.com/2019/03/18/rampaging-cyclone-idai-kills-89-people-in-eastern-zimbabwe Africanews on YouTube brings you a daily dose of news, produced and realised in Africa, by and for Africans. Africanews is the first pan-African multilingual media outlet, unique in its concept and vision. Subscribe on our Youtube channel https://www.youtube.com/c/africanews and receive all the latest news from the continent. Africanews is available in English and French. Website : www.africanews.com Facebook : https://www.facebook.com/africanews.channel/ Twitter : https://twitter.com/africanews","africanews,af_news,Zimbabwe,Humanitarian aid,Humanitarian crisis,Cyclone,natural disaster",25,News & Politics,Society,PT56S,56,2d,sd,false,en,en,,1,,,,,2996,8,,0,0,videolist_search483_2026_04_18-14_39_15.csv,2026_04_18-14_39_15,https://www.youtube.com/watch?v=KXo7bq4o6pw
toInwS5pE6c,UCTrQ7HXWRRxr7OsOtodr2_w,cdff03345a2897412c9490ebf4871f141349a25f356aa8e2,"In southern Africa, the first reports are emerging of an outbreak of cholera, as conditions worsen for those affected by Cyclone Idai. (Subscribe: https://bit.ly/C4_News_Subscribe) Thousands are missing and hundreds of thousands have been left homeless, as the waters have risen following last week's disaster. Our chief correspondent Alex Thomson reports from Beira, the port city in the centre of Mozambique which has been isolated by the flood. ------- Watch more of our explainer series here - https://www.youtube.com/playlist?list... Get more news at our site - https://www.channel4.com/news/ Follow us: Facebook - https://www.facebook.com/Channel4News/ Twitter - https://twitter.com/Channel4News",2019-03-22 19:49:56,1553284196,6,UCTrQ7HXWRRxr7OsOtodr2_w,Channel 4 News,toInwS5pE6c,2019-03-22T19:49:56Z,2019-03-22 19:49:56,Cyclone Idai: thousands still missing in Mozambique,"In southern Africa, the first reports are emerging of an outbreak of cholera, as conditions worsen for those affected by Cyclone Idai. (Subscribe: https://bit.ly/C4_News_Subscribe) Thousands are missing and hundreds of thousands have been left homeless, as the waters have risen following last week's disaster. Our chief correspondent Alex Thomson reports from Beira, the port city in the centre of Mozambique which has been isolated by the flood. ------- Watch more of our explainer series here - https://www.youtube.com/playlist?list... Get more news at our site - https://www.channel4.com/news/ Follow us: Facebook - https://www.facebook.com/Channel4News/ Twitter - https://twitter.com/Channel4News","Channel 4 News,Cyclone,idai,cyclone idai,Mozambique,mozambique cyclone,cyclone mozambique,cyclone 2019,mozambique cyclone 2019,zimbabwe cyclone,zimbabwe,cyclove idai zimbabwe,mozambique cyclone idai,cyclone in mozambique,idai mozambique,idai cyclone",25,News & Politics,"Politics,Society,Television_program",PT10M26S,626,2d,hd,false,en,en,https://i.ytimg.com/vi/toInwS5pE6c/maxresdefault.jpg,1,,,,,194145,604,,0,221,videolist_search483_2026_04_18-14_39_15.csv,2026_04_18-14_39_15,https://www.youtube.com/watch?v=toInwS5pE6c
6lXKNlF-s9w,UCxPPgRYHH1NSp2Ya_ROiXxw,d777eb5cf80458facb0ad212d6fbdfb6a2bf958b2550d76f,"Cyclone Idai has left Mozambique, Malawi and Zimbabwe hanging on by a thread. The cyclone has left many people dead, stranded and missing. The first rescue teams to arrive in Mozambique included IPSS Medical Rescue, Rescue SA and Rescue Care. Paul Herbst, of IPSS, explains what it was like to be a rescuer in Mozambique. EDIT: Deepa Kesa Subscribe to TimesLIVE here: https://www.youtube.com/user/TimesLive",2019-03-22 09:28:36,1553246916,7,UCxPPgRYHH1NSp2Ya_ROiXxw,TimesLIVE Video,6lXKNlF-s9w,2019-03-22T09:28:36Z,2019-03-22 09:28:36,Cyclone Idai: Inside the rescue mission,"Cyclone Idai has left Mozambique, Malawi and Zimbabwe hanging on by a thread. The cyclone has left many people dead, stranded and missing. The first rescue teams to arrive in Mozambique included IPSS Medical Rescue, Rescue SA and Rescue Care. Paul Herbst, of IPSS, explains what it was like to be a rescuer in Mozambique. EDIT: Deepa Kesa Subscribe to TimesLIVE here: https://www.youtube.com/user/TimesLive","Cyclone Idai: Inside the rescue mission,Cyclone Idai,Floods in Mozambique,Floods in Malawi,Floods in Zimbabwe,Cyclone in Africa,How many people died in Cyclone Idai?,UN,IPSS,Rescue SA,Rescue Care",25,News & Politics,Society,PT2M2S,122,2d,hd,false,en,en,https://i.ytimg.com/vi/6lXKNlF-s9w/maxresdefault.jpg,1,,,,,30449,49,,0,3,videolist_search483_2026_04_18-14_39_15.csv,2026_04_18-14_39_15,https://www.youtube.com/watch?v=6lXKNlF-s9w
NjcjAacizjA,UCZ8xf9ZrTOv7SeYK7U5eKVg,21d71fea6850d4be13da221a5832066c7ab9fb457e3ddad9,"March 17, 2019 Dramatic footage of Cyclone Idai flooding in Zimbabwe. Fast moving flood waters inundating villages, affecting communities near Nyahonde river in Rusitu, Chimanimani. Tragically many people died. Zimbabwe Red Cross teams are providing support to people in need. Video: Zimbabwe Red Cross",2019-03-18 09:21:15,1552900875,8,UCZ8xf9ZrTOv7SeYK7U5eKVg,IFRC,NjcjAacizjA,2019-03-18T09:21:15Z,2019-03-18 09:21:15,Dramatic footage of Cyclone Idai flooding in Zimbabwe,"March 17, 2019 Dramatic footage of Cyclone Idai flooding in Zimbabwe. Fast moving flood waters inundating villages, affecting communities near Nyahonde river in Rusitu, Chimanimani. Tragically many people died. Zimbabwe Red Cross teams are providing support to people in need. Video: Zimbabwe Red Cross","Cyclone Idai,zimbabwe,flood,cyclone,2019,storm,damage,destruction,mozambique,malawi",29,Nonprofits & Activism,,PT30S,30,2d,sd,false,en,en,,,,,,,49772,75,,0,4,videolist_search483_2026_04_18-14_39_15.csv,2026_04_18-14_39_15,https://www.youtube.com/watch?v=NjcjAacizjA
__NFh-iZB70,UCAqXK1PxLN_n4gZpQfY2xFA,eeb7e70c2aec141fe759fc628629fa0cf83480727cf4720c,"In March 2019, Cyclone Idai wreaked havoc in Southern Africa, claiming thousands of lives and displacing millions. Discover the impact and recovery efforts. #CycloneIdai #NaturalDisaster #Mozambique #Zimbabwe #Malawi #ClimateChange #HumanitarianAid",2024-09-30 17:30:28,1727717428,9,UCAqXK1PxLN_n4gZpQfY2xFA,Moments in Time,__NFh-iZB70,2024-09-30T17:30:28Z,2024-09-30 17:30:28,Cyclone Idai: A Southern Africa Tragedy,"In March 2019, Cyclone Idai wreaked havoc in Southern Africa, claiming thousands of lives and displacing millions. Discover the impact and recovery efforts. #CycloneIdai #NaturalDisaster #Mozambique #Zimbabwe #Malawi #ClimateChange #HumanitarianAid",,22,People & Blogs,Knowledge,PT44S,44,2d,hd,false,en,en,https://i.ytimg.com/vi/__NFh-iZB70/maxresdefault.jpg,,,,,,1487,19,,0,1,videolist_search483_2026_04_18-14_39_15.csv,2026_04_18-14_39_15,https://www.youtube.com/watch?v=__NFh-iZB70
Yc-dI_IvbMk,UCoMdktPbSTixAyNGwb-UYkQ,cd03653698b326f12475b085dc74521a09b2bfbb95548d38,British aid is being delivered to help thousands of people in Mozambique who have been left without basic supplies after Cyclone Idai. Water filters are just one of the items the UK is sending to try and help prevent an outbreak of cholera. SUBSCRIBE to our YouTube channel for more videos: http://www.youtube.com/skynews Follow us on Twitter: https://twitter.com/skynews and https://twitter.com/skynewsbreak Like us on Facebook: https://www.facebook.com/skynews Follow us on Instagram: https://www.instagram.com/skynews For more content go to http://news.sky.com and download our apps: Apple https://itunes.apple.com/gb/app/sky-news/id316391924?mt=8 Android https://play.google.com/store/apps/details?id=com.bskyb.skynews.android&hl=en_GB,2019-03-25 21:18:42,1553548722,10,UCoMdktPbSTixAyNGwb-UYkQ,Sky News,Yc-dI_IvbMk,2019-03-25T21:18:42Z,2019-03-25 21:18:42,Cyclone Idai: Rebuilding Mozambique,British aid is being delivered to help thousands of people in Mozambique who have been left without basic supplies after Cyclone Idai. Water filters are just one of the items the UK is sending to try and help prevent an outbreak of cholera. SUBSCRIBE to our YouTube channel for more videos: http://www.youtube.com/skynews Follow us on Twitter: https://twitter.com/skynews and https://twitter.com/skynewsbreak Like us on Facebook: https://www.facebook.com/skynews Follow us on Instagram: https://www.instagram.com/skynews For more content go to http://news.sky.com and download our apps: Apple https://itunes.apple.com/gb/app/sky-news/id316391924?mt=8 Android https://play.google.com/store/apps/details?id=com.bskyb.skynews.android&hl=en_GB,"CYCLONE IDAI,CYCLONE,SKY NEWS,SKY,NEWS,MOZAMBIQUE,AFRICA,GOONDA,BERIA,WEATHER,AID,UK,STORMS,WATER,MAPUTO,FLOODWATER,NATIONAL EMERGENCY,AGENCIES,CLIMATE,ROADS,CHOLERA",25,News & Politics,"Politics,Society",PT3M3S,183,2d,hd,false,en,en,https://i.ytimg.com/vi/Yc-dI_IvbMk/maxresdefault.jpg,1,,,,,6911,67,,0,15,videolist_search483_2026_04_18-14_39_15.csv,2026_04_18-14_39_15,https://www.youtube.com/watch?v=Yc-dI_IvbMk
